Cluster	Nodes
electron biosynthetic process	64
apc g1 transcription	57
srp protein synthesis	50
separation regulation positive	38
checkpoint cell cycle	28
catabolic diphosphate process	27
homologous hrr repair	26
acid fatty process	26
mitotic spindle localization	25
sites fanconi anemia	20
oncogenic action succinate	19
strand replication dna	12
meiotic reciprocal meiosis	11
rb1 aberrant defects	9
inwardly rectifying channels	9
glucose gluconeogenesis carbohydrate	8
dehydrogenase ketotic hyperglycinemia	8
ureidopropionase orotic pyrimidine	7
trna charging aminoacylation	7
dna replication regulation	7
mitochondrial expression translation	6
golgi er retrograde	6
positive cytokinesis division	5
organic anion transport	5
mitotic cytokinesis cytokinetic	5
import membrane inorganic	5
hyperoxaluria ph2 pyruvate	5
unwinding geometric change	4
secondary glycosyl quinone	4
microtubule organizing center	4
ion cytosol calcium	4
vascular circulatory system	3
tp53 transcription arrest	3
toxic substance detoxification	3
mirna damage atm	3
cristae formation coupling	3
centromere complex assembly	3
alpha signalling events	3
targets myc transcriptional	2
slc bile salts	2
sensory perception sound	2
pid plk1 signaling	2
pid aurora signaling	2
nuclear meta nrf2	2
il8 cxcr2 pathway	2
beta3 integrin cell	2
atr signaling pathway	2
