Gene	Description	Ranks	Rank/Score
PFKFB2		3.64	3.64
PLA2G4A		2.68	2.68
AVPR1A		2.57	2.57
FADS2		2.1	2.1
PCK2		2.07	2.07
UGDH		2.06	2.06
PRPS2		1.87	1.87
FAR2		1.84	1.84
ACSF2		1.82	1.82
NNT		1.76	1.76
ACSS2		1.76	1.76
ALDH1A1		1.72	1.72
ATP1B1		1.67	1.67
NUDT4		1.66	1.66
MTHFD1		1.62	1.62
PSAT1		1.62	1.62
UGT2B7		1.61	1.61
SHMT2		1.6	1.6
FADS1		1.6	1.6
RRM2		1.54	1.54
AKR1C3		1.51	1.51
IDH2		1.5	1.5
PIP4K2C		1.46	1.46
SLC25A5		1.4	1.4
TKT		1.39	1.39
PAH		1.37	1.37
CPT1A		1.37	1.37
TK1		1.36	1.36
GATM		1.36	1.36
SCD		1.36	1.36
MTFR1		1.34	1.34
PGK1		1.32	1.32
ALDH18A1		1.31	1.31
DPYD		1.28	1.28
CPS1		1.28	1.28
ADH5		1.24	1.24
GPAM		1.23	1.23
VDAC1		1.23	1.23
OSBPL3		1.21	1.21
DGKH		1.2	1.2
DPYS		1.19	1.19
GSTO1		1.19	1.19
PNPLA3		1.18	1.18
GFPT1		1.18	1.18
MDH1		1.17	1.17
SLC27A2		1.16	1.16
CD74		1.16	1.16
RRM1		1.16	1.16
NDUFB9		1.15	1.15
SLC27A4		1.13	1.13
DLST		1.13	1.13
AKR1A1		1.11	1.11
PANK1		1.11	1.11
KYNU		1.11	1.11
MT-ND2		1.11	1.11
GAPDH		1.1	1.1
MT-ATP6		1.1	1.1
ETNK1		1.1	1.1
ACSL4		1.1	1.1
GOT2		1.09	1.09
MT-CO2		1.07	1.07
FDPS		1.07	1.07
CS		1.05	1.05
ENTPD1		1.05	1.05
DPYSL2		1.04	1.04
ACSL6		1.04	1.04
CRYM		1.03	1.03
ELOVL7		1.02	1.02
ACLY		1.01	1.01
ACAT2		1.01	1.01
TP53I3		1	1
NUP188		1	1
SLC39A8		0.99	0.99
HSPA8		0.99	0.99
GPT2		0.98	0.98
FAR1		0.97	0.97
PPM1K		0.97	0.97
HADHB		0.96	0.96
MT-ND1		0.96	0.96
SLC39A14		0.95	0.95
LPCAT1		0.95	0.95
PDHA1		0.94	0.94
FOXK1		0.94	0.94
ENPP2		0.94	0.94
INPP4B		0.94	0.94
PNPO		0.94	0.94
HK1		0.93	0.93
MT-CO3		0.93	0.93
LDHA		0.92	0.92
ADA2		0.92	0.92
TPI1		0.92	0.92
ENTPD6		0.92	0.92
ALDH2		0.91	0.91
UQCRFS1		0.91	0.91
NDC1		0.91	0.91
HACD3		0.91	0.91
TYMS		0.91	0.91
PLA2G4F		0.9	0.9
UPP1		0.9	0.9
AKR1C2		0.9	0.9
MT-CO1		0.88	0.88
GPD1		0.88	0.88
ENO1		0.88	0.88
CRY1		0.88	0.88
EHHADH		0.87	0.87
MT-CYB		0.87	0.87
ADH6		0.87	0.87
MT-ND4		0.86	0.86
NAGK		0.86	0.86
CYCS		0.85	0.85
ATP5PD		0.85	0.85
MOCS2		0.85	0.85
CEBPA		0.83	0.83
GLS		0.82	0.82
DLD		0.81	0.81
PLD1		0.81	0.81
ITPKB		0.81	0.81
ACACA		0.81	0.81
ENO2		0.8	0.8
PYGB		0.8	0.8
SLC37A1		0.8	0.8
GSTP1		0.79	0.79
GPI		0.78	0.78
UGT2B4		0.78	0.78
PARP1		0.78	0.78
NUP205		0.78	0.78
ALDH1L1		0.78	0.78
ATP5F1B		0.77	0.77
UNG		0.76	0.76
RAN		0.76	0.76
PDIA5		0.76	0.76
UGP2		0.76	0.76
PARG		0.75	0.75
ABCD4		0.75	0.75
GNAI3		0.75	0.75
ATP5MC1		0.75	0.75
PRKACA		0.74	0.74
ASRGL1		0.74	0.74
GLB1		0.74	0.74
SLC44A2		0.74	0.74
PPARD		0.74	0.74
OGDHL		0.73	0.73
APOA1		0.73	0.73
ALDH8A1		0.73	0.73
FIGNL1		0.72	0.72
ETFA		0.72	0.72
COX6B1		0.72	0.72
GLRX		0.71	0.71
UQCRH		0.71	0.71
ACADM		0.71	0.71
PGM2L1		0.7	0.7
PGD		0.7	0.7
ALDH1A2		0.7	0.7
PANK2		0.69	0.69
DBI		0.67	0.67
SLC6A8		0.67	0.67
AIFM1		0.66	0.66
SDHC		0.65	0.65
BDH2		0.65	0.65
ATP5F1C		0.65	0.65
NDUFAF5		0.64	0.64
SORD		0.64	0.64
CTPS1		0.63	0.63
GLYCTK		0.63	0.63
GALK2		0.63	0.63
COX11		0.63	0.63
XBP1		0.63	0.63
MTARC1		0.63	0.63
ANGPTL3		0.62	0.62
SHMT1		0.62	0.62
BPNT1		0.62	0.62
AKR1C1		0.62	0.62
PGM5		0.62	0.62
DDAH1		0.61	0.61
NUDT16		0.61	0.61
SUCLG1		0.61	0.61
L2HGDH		0.61	0.61
GLA		0.6	0.6
ELOVL4		0.6	0.6
SELENOI		0.6	0.6
HSD17B4		0.6	0.6
CARMIL1		0.6	0.6
GALNT7		0.6	0.6
CARNMT1		0.6	0.6
ABHD3		0.6	0.6
SULT1C4		0.59	0.59
LRPPRC		0.59	0.59
GDPD1		0.59	0.59
CMPK1		0.59	0.59
COA1		0.59	0.59
GCNT4		0.59	0.59
GOT1		0.59	0.59
NDUFS1		0.59	0.59
UCK2		0.59	0.59
PIGQ		0.58	0.58
TPST1		0.58	0.58
ASS1		0.58	0.58
GART		0.58	0.58
IDH1		0.58	0.58
MT-ND6		0.58	0.58
SLC17A1		0.57	0.57
COX4I1		0.57	0.57
LPCAT4		0.57	0.57
COA3		0.56	0.56
UPP2		0.56	0.56
UQCC2		0.56	0.56
UGT2A3		0.56	0.56
ACAD9		0.56	0.56
PTGR1		0.55	0.55
INPP5F		0.55	0.55
GBA2		0.55	0.55
AGL		0.55	0.55
PPARGC1A		0.55	0.55
UQCRC2		0.55	0.55
MTM1		0.55	0.55
SDHAF3		0.55	0.55
DAGLB		0.54	0.54
GLO1		0.54	0.54
AGXT2		0.54	0.54
PLSCR1		0.54	0.54
SEC13		0.53	0.53
UQCRQ		0.53	0.53
ATP5MC3		0.52	0.52
DECR1		0.52	0.52
HGD		0.52	0.52
SYNJ1		0.52	0.52
GPCPD1		0.52	0.52
GK5		0.52	0.52
GALE		0.52	0.52
GARS1		0.52	0.52
MBD4		0.52	0.52
STAT5A		0.51	0.51
SLC25A33		0.51	0.51
FBP1		0.51	0.51
AKR1B1		0.51	0.51
NUP93		0.5	0.5
PTGIS		0.5	0.5
CDADC1		0.5	0.5
BHMT		0.5	0.5
DPYSL5		0.5	0.5
MTMR4		0.5	0.5
SLC22A11		0.5	0.5
IMPDH2		0.49	0.49
PIK3CD		0.49	0.49
ATP5PB		0.49	0.49
ENTPD7		0.49	0.49
SCPEP1		0.49	0.49
COX5A		0.49	0.49
NDUFAF4		0.49	0.49
SLC25A13		0.49	0.49
SLC38A1		0.49	0.49
HADHA		0.49	0.49
LPIN1		0.49	0.49
ACSM3		0.48	0.48
CHKA		0.48	0.48
SLC25A1		0.48	0.48
ATP5PF		0.47	0.47
ECHDC1		0.47	0.47
SLC27A3		0.47	0.47
FMO1		0.47	0.47
PIK3R1		0.46	0.46
UQCRC1		0.46	0.46
NDUFS5		0.46	0.46
NDUFV3		0.46	0.46
UQCRHL		0.46	0.46
SLC2A9		0.45	0.45
PRKACB		0.45	0.45
PIGH		0.45	0.45
GMPPB		0.45	0.45
COX7C		0.45	0.45
HMGCS1		0.45	0.45
CBR1		0.45	0.45
COX7A2		0.45	0.45
GMPS		0.44	0.44
ACSS3		0.44	0.44
NIPSNAP2		0.44	0.44
PGM3		0.44	0.44
NUP107		0.44	0.44
QPRT		0.44	0.44
UCP2		0.44	0.44
PIGA		0.43	0.43
PFKFB3		0.43	0.43
ABHD12		0.43	0.43
NUP37		0.42	0.42
ACO1		0.42	0.42
ACOX1		0.42	0.42
FH		0.42	0.42
MACROD2		0.42	0.42
AGPAT3		0.42	0.42
ACAT1		0.42	0.42
MDH2		0.42	0.42
OMA1		0.41	0.41
BPGM		0.41	0.41
NUP43		0.41	0.41
PPARG		0.4	0.4
COX6A1		0.4	0.4
STAT5B		0.4	0.4
CAD		0.4	0.4
DHTKD1		0.4	0.4
AGPAT4		0.4	0.4
HPGD		0.4	0.4
NANP		0.4	0.4
ARG2		0.39	0.39
ADSS2		0.39	0.39
MT-ND3		0.39	0.39
DSE		0.39	0.39
PIP4K2B		0.39	0.39
PCYT1A		0.39	0.39
LRRK2		0.39	0.39
GSTO2		0.39	0.39
CHCHD10		0.39	0.39
CHPT1		0.39	0.39
ITPA		0.39	0.39
EXT2		0.38	0.38
DLAT		0.38	0.38
HSPA1A		0.38	0.38
GYS1		0.38	0.38
SLC44A3		0.38	0.38
DCTPP1		0.38	0.38
ACSS1		0.38	0.38
GNPTAB		0.38	0.38
MMUT		0.37	0.37
ABCD3		0.37	0.37
RAB23		0.37	0.37
NDUFAF2		0.37	0.37
GCGR		0.37	0.37
IDH3A		0.37	0.37
HSD17B12		0.37	0.37
ABCC6		0.37	0.37
PTGES3		0.37	0.37
COX7B		0.37	0.37
AMY2B		0.36	0.36
PCCB		0.36	0.36
LPIN2		0.36	0.36
LPCAT3		0.36	0.36
NDUFS2		0.36	0.36
COX6C		0.36	0.36
SLC4A7		0.36	0.36
PIKFYVE		0.36	0.36
LIAS		0.36	0.36
HIBADH		0.36	0.36
PPP2R5D		0.35	0.35
TMEM186		0.35	0.35
MGST2		0.35	0.35
HSD17B10		0.35	0.35
SULT1E1		0.35	0.35
ATP5F1A		0.35	0.35
NMNAT1		0.35	0.35
MGLL		0.35	0.35
CYP4V2		0.35	0.35
AK2		0.35	0.35
PRPS1		0.34	0.34
CDS2		0.34	0.34
TACO1		0.34	0.34
NUDT5		0.34	0.34
ABHD4		0.34	0.34
NDUFA6		0.34	0.34
NDUFAF1		0.34	0.34
DTYMK		0.34	0.34
COQ10A		0.34	0.34
PNP		0.34	0.34
ACADVL		0.34	0.34
TRAP1		0.34	0.34
HINT1		0.34	0.34
CYC1		0.34	0.34
SCP2		0.34	0.34
NDUFB4		0.34	0.34
TIMM21		0.34	0.34
NUDT9		0.34	0.34
ADIPOR2		0.34	0.34
CPT2		0.33	0.33
NEU3		0.33	0.33
PCCA		0.33	0.33
CEPT1		0.33	0.33
FUT10		0.33	0.33
PRKAG2		0.33	0.33
NDUFS4		0.33	0.33
AK3		0.33	0.33
NT5C3A		0.33	0.33
B4GALT1		0.33	0.33
ACBD7		0.32	0.32
NUP160		0.32	0.32
PHYH		0.32	0.32
KHK		0.32	0.32
FAHD1		0.32	0.32
AK4		0.32	0.32
PIP4K2A		0.32	0.32
NUP85		0.32	0.32
DCK		0.32	0.32
PFKFB4		0.32	0.32
OGDH		0.31	0.31
SUCLG2		0.31	0.31
