NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM3	10	2.765185832977295	0.095064364	Yes	
row_1	CHEK1	13	2.7267985343933105	0.18930581	Yes	
row_2	MCM5	16	2.570329427719116	0.27813226	Yes	
row_3	MCM4	22	2.432924270629883	0.36201385	Yes	
row_4	CDC6	83	1.7313843965530396	0.4181409	Yes	
row_5	CDC7	150	1.496117115020752	0.46574673	Yes	
row_6	MCM7	238	1.2879929542541504	0.50482273	Yes	
row_7	CLSPN	378	1.0765444040298462	0.5332946	Yes	
row_8	CDC25C	410	1.0378031730651855	0.56725127	Yes	
row_9	ORC6	522	0.9269506335258484	0.5923157	Yes	
row_10	MCM2	538	0.911196768283844	0.622902	Yes	
row_11	RFC4	576	0.8895114064216614	0.65134746	Yes	
row_12	MCM10	600	0.8713869452476501	0.68005043	Yes	
row_13	MCM6	659	0.8342344164848328	0.7052557	Yes	
row_14	ORC1	665	0.8308550715446472	0.7336936	Yes	
row_15	CDC25A	738	0.7894794940948486	0.7564652	Yes	
row_16	RPA2	1006	0.6627059578895569	0.7625257	Yes	
row_17	CDC45	1276	0.5674440860748291	0.76516294	Yes	
row_18	CDK2	1327	0.5537399053573608	0.7811666	Yes	
row_19	RFC5	1643	0.4777170717716217	0.7777915	Yes	
row_20	RFC3	1747	0.4544703960418701	0.7870101	Yes	
row_21	RAD1	1817	0.4393949806690216	0.79785573	Yes	
row_22	MCM8	1880	0.42593327164649963	0.8086779	Yes	
row_23	RPA1	2148	0.3849301040172577	0.80512524	No	
row_24	RPA3	2971	0.2860308587551117	0.7630744	No	
row_25	ORC5	3121	0.2714952230453491	0.7630535	No	
row_26	RFC2	3272	0.2577116787433624	0.7624924	No	
row_27	ATRIP	3667	0.22509825229644775	0.745382	No	
row_28	ATR	3731	0.21909961104393005	0.74898297	No	
row_29	RAD9A	4535	0.16426560282707214	0.70391893	No	
row_30	ORC2	5596	0.10384853184223175	0.64052176	No	
row_31	RAD17	6563	0.058330945670604706	0.5814901	No	
row_32	DBF4	6651	0.054468199610710144	0.57787675	No	
row_33	ORC4	7112	0.03570013865828514	0.55004066	No	
row_34	ORC3	8087	-0.0021068889182060957	0.4885576	No	
row_35	HUS1	9868	-0.07222916930913925	0.3785628	No	
