NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC20	21	2.455770969390869	0.05029546	Yes	
row_1	KIF2C	26	2.314008951187134	0.098688625	Yes	
row_2	CDCA8	39	2.0342679023742676	0.1406936	Yes	
row_3	BUB1	82	1.7316120862960815	0.17443371	Yes	
row_4	CENPE	130	1.5521818399429321	0.20408465	Yes	
row_5	NDC80	173	1.421618938446045	0.23130785	Yes	
row_6	MAD2L1	228	1.2992621660232544	0.25519788	Yes	
row_7	ZWINT	233	1.2952005863189697	0.28217292	Yes	
row_8	CENPF	253	1.264841914176941	0.3075586	Yes	
row_9	DSN1	262	1.250393033027649	0.33333802	Yes	
row_10	CKAP5	284	1.2099236249923706	0.35744238	Yes	
row_11	KNL1	324	1.140342116355896	0.37894258	Yes	
row_12	BUB1B	338	1.123475432395935	0.40173683	Yes	
row_13	KNTC1	361	1.099395751953125	0.42345414	Yes	
row_14	BIRC5	366	1.0918680429458618	0.44615456	Yes	
row_15	CENPK	451	0.9865016937255859	0.4615673	Yes	
row_16	RCC2	472	0.971186101436615	0.48071614	Yes	
row_17	AURKB	495	0.9461914300918579	0.4992127	Yes	
row_18	CENPU	528	0.9226753115653992	0.5165808	Yes	
row_19	NUF2	545	0.908489465713501	0.5346652	Yes	
row_20	SPC25	634	0.8492032289505005	0.54693794	Yes	
row_21	SKA1	780	0.7629997730255127	0.5537842	Yes	
row_22	CENPH	785	0.7592832446098328	0.56949276	Yes	
row_23	KIF18A	968	0.6775676608085632	0.5721969	Yes	
row_24	INCENP	1023	0.654644250869751	0.5825353	Yes	
row_25	BUB3	1029	0.6500895619392395	0.595885	Yes	
row_26	PLK1	1215	0.587594211101532	0.5965074	Yes	
row_27	NDE1	1383	0.5368269085884094	0.5972039	Yes	
row_28	SEC13	1403	0.5299005508422852	0.6071391	Yes	
row_29	PPP1CC	1491	0.5135537981987	0.61241895	Yes	
row_30	ZWILCH	1520	0.5051543116569519	0.62126327	Yes	
row_31	CENPM	1558	0.4963679611682892	0.6293522	Yes	
row_32	CENPO	1689	0.46579709649086	0.6309016	Yes	
row_33	NUP107	1827	0.4380784034729004	0.63142437	Yes	
row_34	KIF2A	1860	0.4301038682460785	0.6384373	Yes	
row_35	NUP37	1887	0.4245610237121582	0.6457141	Yes	
row_36	DYNC1I2	1955	0.41241639852523804	0.65013593	Yes	
row_37	NUP43	2001	0.4061843752861023	0.6558217	Yes	
row_38	SPC24	2010	0.4043806791305542	0.6638156	Yes	
row_39	CLASP1	2121	0.3875459134578705	0.66498804	Yes	
row_40	CENPA	2167	0.3824938237667084	0.6701758	Yes	
row_41	CENPT	2263	0.36975136399269104	0.67192525	Yes	
row_42	ERCC6L	2266	0.36870139837265015	0.6795496	Yes	
row_43	CENPN	2296	0.36566483974456787	0.685398	Yes	
row_44	PPP2R5D	2374	0.3547053337097168	0.6879725	Yes	
row_45	DYNLL1	2394	0.35135945677757263	0.6941543	Yes	
row_46	PPP2R5B	2458	0.34330877661705017	0.6973769	Yes	
row_47	SGO1	2564	0.33137238025665283	0.6976855	Yes	
row_48	ZW10	2584	0.3292408585548401	0.7034023	Yes	
row_49	NUP160	2636	0.3231712877750397	0.70696247	Yes	
row_50	NUP85	2684	0.31689566373825073	0.7106443	Yes	
row_51	CENPI	2781	0.30520927906036377	0.7109735	Yes	
row_52	XPO1	2936	0.2893794775009155	0.7072923	No	
row_53	SPDL1	3037	0.27938565611839294	0.706825	No	
row_54	RANGAP1	3269	0.2578536868095398	0.69759864	No	
row_55	PPP2R1B	3992	0.2007051408290863	0.6560378	No	
row_56	RPS27	4233	0.18366211652755737	0.6446811	No	
row_57	NUDC	4716	0.15398749709129333	0.6173559	No	
row_58	DYNC1LI2	4864	0.14504264295101166	0.61108416	No	
row_59	ITGB3BP	5222	0.12399642914533615	0.59105444	No	
row_60	NSL1	5235	0.1229867935180664	0.59287906	No	
row_61	DYNC1LI1	5354	0.11648119240999222	0.58784574	No	
row_62	MAPRE1	5364	0.11584822833538055	0.5897105	No	
row_63	NUP133	5497	0.10910502821207047	0.5836344	No	
row_64	CENPQ	5664	0.1004425436258316	0.57522035	No	
row_65	SGO2	5683	0.09909360110759735	0.5761622	No	
row_66	CENPL	5816	0.09376795589923859	0.56976366	No	
row_67	CENPP	5877	0.0902378037571907	0.56785625	No	
row_68	RANBP2	6020	0.08440203964710236	0.56062675	No	
row_69	PPP2R5E	6102	0.08008614927530289	0.5571744	No	
row_70	DYNLL2	6221	0.07422476261854172	0.5512527	No	
row_71	PMF1	7534	0.019083382561802864	0.4684632	No	
row_72	MIS12	9592	-0.05973619222640991	0.33928978	No	
row_73	CENPC	9618	-0.06071782857179642	0.33898103	No	
row_74	PPP2CB	9731	-0.06552047282457352	0.3332568	No	
row_75	PPP2CA	10086	-0.08169451355934143	0.31252798	No	
row_76	TAOK1	10184	-0.08627240359783173	0.30819115	No	
row_77	PPP2R5C	10289	-0.09162373095750809	0.30352294	No	
row_78	DYNC1H1	10465	-0.10037793219089508	0.29453686	No	
row_79	PPP2R1A	10725	-0.11246659606695175	0.28047866	No	
row_80	AHCTF1	10873	-0.12116286158561707	0.27370492	No	
row_81	CLIP1	10975	-0.1267046332359314	0.26996446	No	
row_82	PAFAH1B1	10993	-0.1278211772441864	0.27157366	No	
row_83	B9D2	11541	-0.15998215973377228	0.24025302	No	
row_84	SKA2	12466	-0.22388312220573425	0.1863711	No	
row_85	CLASP2	13137	-0.28153491020202637	0.14980671	No	
row_86	PPP2R5A	14537	-0.5178936123847961	0.07198712	No	
row_87	NDEL1	14675	-0.5570489764213562	0.075010985	No	
