NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGFR	1454	0.5191592574119568	-0.024963297	No	
row_1	CDC42	3016	0.2817055881023407	-0.08724826	No	
row_2	NRG1	3951	0.20360656082630157	-0.12000331	No	
row_3	GIT2	6009	0.08507958054542542	-0.23891242	No	
row_4	DMD	6998	0.04004836082458496	-0.29613087	No	
row_5	RAC1	7453	0.02228524722158909	-0.3219238	No	
row_6	MAPK8	7624	0.015615925192832947	-0.33064592	No	
row_7	NRG3	8703	-0.024129677563905716	-0.39559534	No	
row_8	JUN	8865	-0.03101213090121746	-0.4017674	No	
row_9	SP1	10479	-0.10129548609256744	-0.49055877	No	
row_10	MAPK1	10614	-0.10745624452829361	-0.4851859	No	
row_11	LAMA4	10727	-0.11251185089349747	-0.47777334	No	
row_12	ITGB1	11384	-0.1502830982208252	-0.49984202	No	
row_13	DAG1	14363	-0.4791429340839386	-0.6261686	Yes	
row_14	MAPK3	15036	-0.6761056184768677	-0.58156	Yes	
row_15	PAK4	15223	-0.7581204175949097	-0.49571213	Yes	
row_16	AGRN	15655	-1.1121845245361328	-0.37975395	Yes	
row_17	DVL1	15782	-1.414226770401001	-0.20565979	Yes	
row_18	PAK1	15816	-1.63442862033844	0.0026514262	Yes	
