NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM3	10	2.765185832977295	0.02308739	Yes	
row_1	CHEK1	13	2.7267985343933105	0.046358	Yes	
row_2	MCM5	16	2.570329427719116	0.06828594	Yes	
row_3	CDC20	21	2.455770969390869	0.0891027	Yes	
row_4	MCM4	22	2.432924270629883	0.10997972	Yes	
row_5	KIF2C	26	2.314008951187134	0.1296441	Yes	
row_6	CDCA8	39	2.0342679023742676	0.14633128	Yes	
row_7	CCNB1	56	1.877758502960205	0.16141917	Yes	
row_8	BUB1	82	1.7316120862960815	0.17467624	Yes	
row_9	CDC6	83	1.7313843965530396	0.18953332	Yes	
row_10	CENPE	130	1.5521818399429321	0.19990507	Yes	
row_11	CDK1	132	1.5489815473556519	0.21313287	Yes	
row_12	CDC7	150	1.496117115020752	0.22488178	Yes	
row_13	NDC80	173	1.421618938446045	0.23567104	Yes	
row_14	CCNB2	182	1.4073889255523682	0.24723527	Yes	
row_15	MAD2L1	228	1.2992621660232544	0.2555008	Yes	
row_16	ZWINT	233	1.2952005863189697	0.26635864	Yes	
row_17	MCM7	238	1.2879929542541504	0.27715465	Yes	
row_18	CENPF	253	1.264841914176941	0.28711122	Yes	
row_19	DSN1	262	1.250393033027649	0.29732826	Yes	
row_20	CKAP5	284	1.2099236249923706	0.30636504	Yes	
row_21	CCNA2	301	1.1783632040023804	0.31545138	Yes	
row_22	RMI2	306	1.1658860445022583	0.32519957	Yes	
row_23	KNL1	324	1.140342116355896	0.33389556	Yes	
row_24	BUB1B	338	1.123475432395935	0.34270313	Yes	
row_25	KNTC1	361	1.099395751953125	0.35072738	Yes	
row_26	BIRC5	366	1.0918680429458618	0.35984045	Yes	
row_27	NSD2	377	1.0765719413757324	0.36843777	Yes	
row_28	CLSPN	378	1.0765444040298462	0.37767562	Yes	
row_29	CDC25C	410	1.0378031730651855	0.38459465	Yes	
row_30	CENPK	451	0.9865016937255859	0.39049673	Yes	
row_31	BRCA1	468	0.972557783126831	0.39781705	Yes	
row_32	RCC2	472	0.971186101436615	0.40595862	Yes	
row_33	AURKB	495	0.9461914300918579	0.4126682	Yes	
row_34	ORC6	522	0.9269506335258484	0.41895637	Yes	
row_35	CENPU	528	0.9226753115653992	0.4265535	Yes	
row_36	MCM2	538	0.911196768283844	0.4337958	Yes	
row_37	NUF2	545	0.908489465713501	0.44120714	Yes	
row_38	DNA2	547	0.9082293510437012	0.4489366	Yes	
row_39	RFC4	576	0.8895114064216614	0.45477536	Yes	
row_40	MCM10	600	0.8713869452476501	0.46077898	Yes	
row_41	GTSE1	633	0.8502583503723145	0.46602458	Yes	
row_42	SPC25	634	0.8492032289505005	0.47331163	Yes	
row_43	TOP3A	635	0.8484757542610168	0.48059243	Yes	
row_44	MCM6	659	0.8342344164848328	0.48627722	Yes	
row_45	ORC1	665	0.8308550715446472	0.49308646	Yes	
row_46	TOPBP1	719	0.8035462498664856	0.49658558	Yes	
row_47	CDC25A	738	0.7894794940948486	0.50220674	Yes	
row_48	PSMB3	747	0.784419059753418	0.50842524	Yes	
row_49	MDM4	770	0.7697892189025879	0.5136211	Yes	
row_50	SKA1	780	0.7629997730255127	0.51959175	Yes	
row_51	CENPH	785	0.7592832446098328	0.5258509	Yes	
row_52	BRIP1	827	0.7410858273506165	0.529583	Yes	
row_53	RNF8	845	0.7338555455207825	0.5347909	Yes	
row_54	CDKN1A	867	0.7216908931732178	0.5396381	Yes	
row_55	KIF18A	968	0.6775676608085632	0.53904456	Yes	
row_56	RPA2	1006	0.6627059578895569	0.54236037	Yes	
row_57	INCENP	1023	0.654644250869751	0.54695266	Yes	
row_58	BUB3	1029	0.6500895619392395	0.5522107	Yes	
row_59	BLM	1109	0.61795973777771	0.5524513	Yes	
row_60	CHEK2	1112	0.6172447800636292	0.55761975	Yes	
row_61	PLK1	1215	0.587594211101532	0.55612594	Yes	
row_62	CDC45	1276	0.5674440860748291	0.55715054	Yes	
row_63	CDK2	1327	0.5537399053573608	0.5586983	Yes	
row_64	EXO1	1372	0.5411174297332764	0.56052226	Yes	
row_65	NDE1	1383	0.5368269085884094	0.564488	Yes	
row_66	SEC13	1403	0.5299005508422852	0.5678176	Yes	
row_67	PPP1CC	1491	0.5135537981987	0.5666497	Yes	
row_68	ZWILCH	1520	0.5051543116569519	0.5691902	Yes	
row_69	YWHAH	1530	0.5032703876495361	0.5729321	Yes	
row_70	UBE2C	1553	0.4973829686641693	0.57579046	Yes	
row_71	CENPM	1558	0.4963679611682892	0.5797935	Yes	
row_72	RFC5	1643	0.4777170717716217	0.5785102	Yes	
row_73	BARD1	1670	0.47084927558898926	0.5808846	Yes	
row_74	CENPO	1689	0.46579709649086	0.5837282	Yes	
row_75	RPS27A	1725	0.45793208479881287	0.585415	Yes	
row_76	RFC3	1747	0.4544703960418701	0.58796924	Yes	
row_77	RAD1	1817	0.4393949806690216	0.5873183	Yes	
row_78	NUP107	1827	0.4380784034729004	0.5905008	Yes	
row_79	KIF2A	1860	0.4301038682460785	0.59214103	Yes	
row_80	BABAM1	1879	0.42612361907958984	0.5946442	Yes	
row_81	MCM8	1880	0.42593327164649963	0.59829915	Yes	
row_82	CDC16	1883	0.4254610538482666	0.6018219	Yes	
row_83	NUP37	1887	0.4245610237121582	0.6052728	Yes	
row_84	WRN	1910	0.4206898510456085	0.6074731	Yes	
row_85	DYNC1I2	1955	0.41241639852523804	0.6081926	Yes	
row_86	CDC26	1971	0.4101482629776001	0.6107509	Yes	
row_87	ANAPC7	1997	0.4066216051578522	0.61263824	Yes	
row_88	NUP43	2001	0.4061843752861023	0.6159315	Yes	
row_89	SPC24	2010	0.4043806791305542	0.61888885	Yes	
row_90	UBC	2047	0.3987802565097809	0.620004	Yes	
row_91	PSME2	2096	0.39120957255363464	0.6202853	Yes	
row_92	CLASP1	2121	0.3875459134578705	0.62207294	Yes	
row_93	RPA1	2148	0.3849301040172577	0.62371	Yes	
row_94	CENPA	2167	0.3824938237667084	0.6258388	Yes	
row_95	CENPT	2263	0.36975136399269104	0.62292427	Yes	
row_96	ERCC6L	2266	0.36870139837265015	0.62595993	Yes	
row_97	CENPN	2296	0.36566483974456787	0.62723947	Yes	
row_98	PSMB4	2313	0.3632713854312897	0.62933147	Yes	
row_99	PPP2R5D	2374	0.3547053337097168	0.6285305	Yes	
row_100	DYNLL1	2394	0.35135945677757263	0.63032806	Yes	
row_101	ATM	2428	0.3468812108039856	0.6311901	Yes	
row_102	PPP2R5B	2458	0.34330877661705017	0.6322778	Yes	
row_103	SGO1	2564	0.33137238025665283	0.6283931	Yes	
row_104	ZW10	2584	0.3292408585548401	0.6300009	Yes	
row_105	NUP160	2636	0.3231712877750397	0.62950605	Yes	
row_106	NUP85	2684	0.31689566373825073	0.6292137	Yes	
row_107	RBBP8	2721	0.31266841292381287	0.6295899	Yes	
row_108	PSMA5	2756	0.3082910478115082	0.6300567	Yes	
row_109	RNF168	2768	0.3068782389163971	0.6319852	Yes	
row_110	CENPI	2781	0.30520927906036377	0.63383526	Yes	
row_111	UBE2N	2836	0.299049973487854	0.6329412	No	
row_112	XPO1	2936	0.2893794775009155	0.62908065	No	
row_113	RPA3	2971	0.2860308587551117	0.62935644	No	
row_114	NBN	2977	0.2854308784008026	0.63148534	No	
row_115	SPDL1	3037	0.27938565611839294	0.6301022	No	
row_116	ORC5	3121	0.2714952230453491	0.62711346	No	
row_117	RANGAP1	3269	0.2578536868095398	0.61990666	No	
row_118	RFC2	3272	0.2577116787433624	0.6219899	No	
row_119	ANAPC4	3318	0.2543871998786926	0.6212893	No	
row_120	PSMD4	3546	0.23467481136322021	0.6087574	No	
row_121	PSME3	3561	0.23340018093585968	0.6098631	No	
row_122	PSMC4	3647	0.22644612193107605	0.6063596	No	
row_123	ATRIP	3667	0.22509825229644775	0.6070737	No	
row_124	PSMD5	3675	0.2243487387895584	0.6085503	No	
row_125	PKMYT1	3683	0.22394134104251862	0.61002344	No	
row_126	PSMB1	3723	0.21979008615016937	0.6094104	No	
row_127	ATR	3731	0.21909961104393005	0.610842	No	
row_128	UBA52	3814	0.2133399397134781	0.60741824	No	
row_129	ANAPC10	3875	0.20920489728450775	0.6053688	No	
row_130	PPP2R1B	3992	0.2007051408290863	0.599658	No	
row_131	YWHAQ	4014	0.19932694733142853	0.6000228	No	
row_132	TP53	4179	0.18778380751609802	0.59112537	No	
row_133	RPS27	4233	0.18366211652755737	0.5893053	No	
row_134	CDC23	4322	0.17712847888469696	0.58518636	No	
row_135	COP1	4513	0.16563674807548523	0.5744329	No	
row_136	RAD9A	4535	0.16426560282707214	0.5744968	No	
row_137	PSMB2	4558	0.16318608820438385	0.57448745	No	
row_138	PSMC3	4687	0.15555310249328613	0.5676203	No	
row_139	NUDC	4716	0.15398749709129333	0.56714743	No	
row_140	PSMB7	4821	0.14828768372535706	0.56175584	No	
row_141	DYNC1LI2	4864	0.14504264295101166	0.5603092	No	
row_142	PSMB5	4972	0.13718335330486298	0.55463	No	
row_143	H2AX	5140	0.12825042009353638	0.5450295	No	
row_144	ITGB3BP	5222	0.12399642914533615	0.5409032	No	
row_145	NSL1	5235	0.1229867935180664	0.5411896	No	
row_146	MDM2	5341	0.11715611070394516	0.5354668	No	
row_147	CDC27	5347	0.116838738322258	0.53614897	No	
row_148	PCBP4	5353	0.11649437248706818	0.5368282	No	
row_149	DYNC1LI1	5354	0.11648119240999222	0.5378278	No	
row_150	MAPRE1	5364	0.11584822833538055	0.53824514	No	
row_151	NUP133	5497	0.10910502821207047	0.5307231	No	
row_152	ZNF385A	5505	0.10868208855390549	0.53120714	No	
row_153	TP53BP1	5512	0.10835182666778564	0.53175247	No	
row_154	ORC2	5596	0.10384853184223175	0.52732515	No	
row_155	SEM1	5618	0.10276740044355392	0.52686137	No	
row_156	ANAPC1	5631	0.10207878798246384	0.52696836	No	
row_157	CENPQ	5664	0.1004425436258316	0.5257798	No	
row_158	SGO2	5683	0.09909360110759735	0.5254767	No	
row_159	MRE11	5696	0.09836330264806747	0.5255518	No	
row_160	PSMA2	5736	0.09702333807945251	0.5238853	No	
row_161	PSMD11	5744	0.09670174866914749	0.5242666	No	
row_162	CENPL	5816	0.09376795589923859	0.5205217	No	
row_163	CENPP	5877	0.0902378037571907	0.51745135	No	
row_164	RANBP2	6020	0.08440203964710236	0.50907654	No	
row_165	PPP2R5E	6102	0.08008614927530289	0.50457346	No	
row_166	DYNLL2	6221	0.07422476261854172	0.49764916	No	
row_167	PIAS4	6241	0.07287321984767914	0.49705702	No	
row_168	PSMA3	6261	0.07221153378486633	0.4964592	No	
row_169	PSMC5	6289	0.07083515077829361	0.49533692	No	
row_170	PSMA6	6306	0.07011694461107254	0.49491337	No	
row_171	YWHAE	6329	0.06903476268053055	0.49409604	No	
row_172	PSMF1	6428	0.06410995870828629	0.48836654	No	
row_173	WEE1	6467	0.06260376423597336	0.48646876	No	
row_174	PSMD2	6479	0.06218783184885979	0.48629755	No	
row_175	RAD17	6563	0.058330945670604706	0.48147961	No	
row_176	UBE2V2	6639	0.05499386414885521	0.4771457	No	
row_177	DBF4	6651	0.054468199610710144	0.47690824	No	
row_178	UBE2D1	6710	0.05229651555418968	0.47364047	No	
row_179	PSMD9	6815	0.047105662524700165	0.46738058	No	
row_180	MDC1	6847	0.0460035465657711	0.46578893	No	
row_181	CCNE1	6906	0.04368090629577637	0.46244723	No	
row_182	PSMA4	6999	0.04001178592443466	0.4568954	No	
row_183	RHNO1	7050	0.03794033080339432	0.45401707	No	
row_184	PSMA7	7110	0.035762056708335876	0.45054334	No	
row_185	ORC4	7112	0.03570013865828514	0.4507856	No	
row_186	PSMD14	7170	0.033191051334142685	0.44741797	No	
row_187	H2BC15	7218	0.031529709696769714	0.44467688	No	
row_188	ANAPC11	7288	0.028640111908316612	0.44050127	No	
row_189	PMF1	7534	0.019083382561802864	0.42496595	No	
row_190	YWHAG	7579	0.017203764989972115	0.42229414	No	
row_191	UIMC1	7613	0.016000403091311455	0.42031687	No	
row_192	PSME1	7676	0.01361099723726511	0.41646084	No	
row_193	UBE2E1	7706	0.012566966004669666	0.4147104	No	
row_194	CCNE2	7794	0.009329359978437424	0.4092157	No	
row_195	ANAPC15	7850	0.007268663961440325	0.40575376	No	
row_196	PSMC1	7875	0.006353205535560846	0.4042704	No	
row_197	PSMB6	8084	-0.0019408119842410088	0.39095888	No	
row_198	ORC3	8087	-0.0021068889182060957	0.3908488	No	
row_199	PSMD13	8163	-0.005141803063452244	0.38608706	No	
row_200	BRCC3	8418	-0.013911987654864788	0.36993065	No	
row_201	UBE2S	8507	-0.01707003451883793	0.36443827	No	
row_202	PSME4	8674	-0.022984107956290245	0.35399857	No	
row_203	RAD50	8842	-0.030168576166033745	0.34355643	No	
row_204	PSMD1	9054	-0.03898417949676514	0.33037052	No	
