NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBL2	9	2.826707601547241	0.0127339205	Yes	
row_1	MCM3	10	2.765185832977295	0.025763134	Yes	
row_2	MCM5	16	2.570329427719116	0.03754911	Yes	
row_3	CDC20	21	2.455770969390869	0.04886032	Yes	
row_4	MCM4	22	2.432924270629883	0.060323957	Yes	
row_5	KIF2C	26	2.314008951187134	0.07103222	Yes	
row_6	CDCA8	39	2.0342679023742676	0.0798372	Yes	
row_7	TUBA1C	42	2.0072197914123535	0.089164935	Yes	
row_8	PRKCA	48	1.9518098831176758	0.09803653	Yes	
row_9	CCNB1	56	1.877758502960205	0.10642915	Yes	
row_10	CCND2	57	1.874673843383789	0.11526239	Yes	
row_11	BUB1	82	1.7316120862960815	0.12186106	Yes	
row_12	CDC6	83	1.7313843965530396	0.13001913	Yes	
row_13	PCNA	84	1.7264946699142456	0.13815416	Yes	
row_14	PTTG1	94	1.6862045526504517	0.14551418	Yes	
row_15	CCND1	101	1.6612173318862915	0.15295151	Yes	
row_16	CENPE	130	1.5521818399429321	0.15844464	Yes	
row_17	CDK1	132	1.5489815473556519	0.16567823	Yes	
row_18	RRM2	137	1.5375900268554688	0.1726631	Yes	
row_19	NCAPH	143	1.5083956718444824	0.17944537	Yes	
row_20	TOP2A	147	1.5055534839630127	0.1863443	Yes	
row_21	CDC7	150	1.496117115020752	0.19326377	Yes	
row_22	KIF20A	153	1.4933853149414062	0.20017038	Yes	
row_23	NDC80	173	1.421618938446045	0.20563349	Yes	
row_24	CCNB2	182	1.4073889255523682	0.21174479	Yes	
row_25	TK1	200	1.3599252700805664	0.21704724	Yes	
row_26	TPX2	217	1.315435528755188	0.2222051	Yes	
row_27	ESPL1	219	1.309754729270935	0.2283115	Yes	
row_28	ESCO2	225	1.3028979301452637	0.23412548	Yes	
row_29	MAD2L1	228	1.2992621660232544	0.24011742	Yes	
row_30	CDCA5	230	1.2976707220077515	0.24616686	Yes	
row_31	ZWINT	233	1.2952005863189697	0.25213963	Yes	
row_32	MCM7	238	1.2879929542541504	0.25794843	Yes	
row_33	FOXM1	242	1.280592918395996	0.26378736	Yes	
row_34	CENPF	253	1.264841914176941	0.26909694	Yes	
row_35	DSN1	262	1.250393033027649	0.27446848	Yes	
row_36	KIF23	266	1.2451307773590088	0.28014034	Yes	
row_37	PDS5A	278	1.2261654138565063	0.28520265	Yes	
row_38	CKAP5	284	1.2099236249923706	0.29057857	Yes	
row_39	CCNA2	301	1.1783632040023804	0.29509056	Yes	
row_40	GINS1	302	1.174257755279541	0.3006235	Yes	
row_41	KNL1	324	1.140342116355896	0.30463126	Yes	
row_42	BUB1B	338	1.123475432395935	0.30907968	Yes	
row_43	KNTC1	361	1.099395751953125	0.31282946	Yes	
row_44	RCC1	365	1.096210241317749	0.31779963	Yes	
row_45	BIRC5	366	1.0918680429458618	0.32294437	Yes	
row_46	GINS2	372	1.0867406129837036	0.32773986	Yes	
row_47	CDC25C	410	1.0378031730651855	0.33022413	Yes	
row_48	E2F1	423	1.0166443586349487	0.3342342	Yes	
row_49	TFDP2	432	1.0076515674591064	0.33846197	Yes	
row_50	NUP188	437	1.0032597780227661	0.34292912	Yes	
row_51	CENPJ	439	0.9999862313270569	0.34757593	Yes	
row_52	LMNB1	440	0.9964852333068848	0.35227123	Yes	
row_53	CENPK	451	0.9865016937255859	0.3562693	Yes	
row_54	SMC2	464	0.9750593900680542	0.36008343	Yes	
row_55	TUBA1B	467	0.972821831703186	0.3645372	Yes	
