NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC20	21	2.455770969390869	0.04880576	Yes	
row_1	KIF2C	26	2.314008951187134	0.09579547	Yes	
row_2	CDCA8	39	2.0342679023742676	0.13656652	Yes	
row_3	BUB1	82	1.7316120862960815	0.16925578	Yes	
row_4	CENPE	130	1.5521818399429321	0.19796461	Yes	
row_5	NDC80	173	1.421618938446045	0.22432496	Yes	
row_6	MAD2L1	228	1.2992621660232544	0.24742615	Yes	
row_7	ZWINT	233	1.2952005863189697	0.2736156	Yes	
row_8	CENPF	253	1.264841914176941	0.2982339	Yes	
row_9	DSN1	262	1.250393033027649	0.32325485	Yes	
row_10	CKAP5	284	1.2099236249923706	0.34662506	Yes	
row_11	KNL1	324	1.140342116355896	0.36743307	Yes	
row_12	BUB1B	338	1.123475432395935	0.38954574	Yes	
row_13	KNTC1	361	1.099395751953125	0.41059595	Yes	
row_14	BIRC5	366	1.0918680429458618	0.43263412	Yes	
row_15	CENPK	451	0.9865016937255859	0.4474472	Yes	
row_16	RCC2	472	0.971186101436615	0.46600673	Yes	
row_17	AURKB	495	0.9461914300918579	0.4839291	Yes	
row_18	CENPU	528	0.9226753115653992	0.50073713	Yes	
row_19	NUF2	545	0.908489465713501	0.5182703	Yes	
row_20	EML4	556	0.9036486744880676	0.5360852	Yes	
row_21	SPC25	634	0.8492032289505005	0.5485391	Yes	
row_22	SKA1	780	0.7629997730255127	0.5549203	Yes	
row_23	CENPH	785	0.7592832446098328	0.5701683	Yes	
row_24	KIF18A	968	0.6775676608085632	0.5724586	Yes	
row_25	INCENP	1023	0.654644250869751	0.58239913	Yes	
row_26	BUB3	1029	0.6500895619392395	0.59535444	Yes	
row_27	PLK1	1215	0.587594211101532	0.59561753	Yes	
row_28	NDE1	1383	0.5368269085884094	0.5959858	Yes	
row_29	SEC13	1403	0.5299005508422852	0.60559934	Yes	
row_30	PPP1CC	1491	0.5135537981987	0.6105663	Yes	
row_31	ZWILCH	1520	0.5051543116569519	0.6191038	Yes	
row_32	CENPM	1558	0.4963679611682892	0.62689114	Yes	
row_33	CENPO	1689	0.46579709649086	0.6281559	Yes	
row_34	NUP107	1827	0.4380784034729004	0.62841076	Yes	
row_35	KIF2A	1860	0.4301038682460785	0.6351623	Yes	
row_36	NUP37	1887	0.4245610237121582	0.6421813	Yes	
row_37	DYNC1I2	1955	0.41241639852523804	0.6463519	Yes	
row_38	NUP43	2001	0.4061843752861023	0.65179056	Yes	
row_39	SPC24	2010	0.4043806791305542	0.6595391	Yes	
row_40	CLASP1	2121	0.3875459134578705	0.6604748	Yes	
row_41	CENPA	2167	0.3824938237667084	0.6654298	Yes	
row_42	CENPT	2263	0.36975136399269104	0.6669535	Yes	
row_43	ERCC6L	2266	0.36870139837265015	0.67435414	Yes	
row_44	CENPN	2296	0.36566483974456787	0.6799804	Yes	
row_45	PPP2R5D	2374	0.3547053337097168	0.68233854	Yes	
row_46	DYNLL1	2394	0.35135945677757263	0.6883069	Yes	
row_47	PPP2R5B	2458	0.34330877661705017	0.6913203	Yes	
row_48	SGO1	2564	0.33137238025665283	0.6914262	Yes	
row_49	ZW10	2584	0.3292408585548401	0.69694304	Yes	
row_50	NUP160	2636	0.3231712877750397	0.70030636	Yes	
row_51	NUP85	2684	0.31689566373825073	0.7037953	Yes	
row_52	CENPI	2781	0.30520927906036377	0.7039378	Yes	
row_53	XPO1	2936	0.2893794775009155	0.70007867	No	
row_54	SPDL1	3037	0.27938565611839294	0.6994403	No	
row_55	RANGAP1	3269	0.2578536868095398	0.6900539	No	
row_56	PPP2R1B	3992	0.2007051408290863	0.64835966	No	
row_57	RPS27	4233	0.18366211652755737	0.63688767	No	
row_58	NUDC	4716	0.15398749709129333	0.60946137	No	
row_59	DYNC1LI2	4864	0.14504264295101166	0.60309935	No	
row_60	ITGB3BP	5222	0.12399642914533615	0.5829886	No	
row_61	NSL1	5235	0.1229867935180664	0.5847385	No	
row_62	DYNC1LI1	5354	0.11648119240999222	0.57963264	No	
row_63	MAPRE1	5364	0.11584822833538055	0.581427	No	
row_64	NUP133	5497	0.10910502821207047	0.5752826	No	
row_65	CENPQ	5664	0.1004425436258316	0.56680495	No	
row_66	SGO2	5683	0.09909360110759735	0.56768644	No	
row_67	CENPL	5816	0.09376795589923859	0.56122893	No	
row_68	CENPP	5877	0.0902378037571907	0.5592658	No	
row_69	RANBP2	6020	0.08440203964710236	0.5519828	No	
row_70	PPP2R5E	6102	0.08008614927530289	0.5484806	No	
row_71	DYNLL2	6221	0.07422476261854172	0.542512	No	
row_72	PMF1	7534	0.019083382561802864	0.45968983	No	
row_73	NEK6	9483	-0.05508694425225258	0.3372653	No	
row_74	MIS12	9592	-0.05973619222640991	0.33163515	No	
row_75	CENPC	9618	-0.06071782857179642	0.33128917	No	
row_76	PPP2CB	9731	-0.06552047282457352	0.32552344	No	
row_77	PPP2CA	10086	-0.08169451355934143	0.30473936	No	
row_78	TAOK1	10184	-0.08627240359783173	0.30034864	No	
row_79	PPP2R5C	10289	-0.09162373095750809	0.29562318	No	
row_80	DYNC1H1	10465	-0.10037793219089508	0.2865734	No	
row_81	PPP2R1A	10725	-0.11246659606695175	0.27244285	No	
row_82	AHCTF1	10873	-0.12116286158561707	0.26559326	No	
row_83	CLIP1	10975	-0.1267046332359314	0.2617743	No	
row_84	PAFAH1B1	10993	-0.1278211772441864	0.26330575	No	
row_85	B9D2	11541	-0.15998215973377228	0.23187926	No	
row_86	NEK9	12231	-0.2058117836713791	0.1923823	No	
row_87	SKA2	12466	-0.22388312220573425	0.18211204	No	
row_88	NEK7	12781	-0.2484690248966217	0.16726984	No	
row_89	CLASP2	13137	-0.28153491020202637	0.15050234	No	
row_90	PPP2R5A	14537	-0.5178936123847961	0.072346166	No	
row_91	NDEL1	14675	-0.5570489764213562	0.07502999	No	
