NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBL2	9	2.826707601547241	0.028892882	Yes	
row_1	CHEK1	13	2.7267985343933105	0.05712639	Yes	
row_2	MCM5	16	2.570329427719116	0.08379252	Yes	
row_3	CDC20	21	2.455770969390869	0.10913712	Yes	
row_4	CDCA8	39	2.0342679023742676	0.12926003	Yes	
row_5	MKI67	74	1.7823817729949951	0.14567466	Yes	
row_6	PCNA	84	1.7264946699142456	0.16309875	Yes	
row_7	PTTG1	94	1.6862045526504517	0.18010287	Yes	
row_8	DLGAP5	124	1.5735046863555908	0.19465853	Yes	
row_9	CENPE	130	1.5521818399429321	0.2105203	Yes	
row_10	RRM2	137	1.5375900268554688	0.22616628	Yes	
row_11	KIF18B	144	1.5072437524795532	0.2414959	Yes	
row_12	TOP2A	147	1.5055534839630127	0.25706267	Yes	
row_13	DEPDC1	170	1.4312310218811035	0.27058104	Yes	
row_14	H2AZ1	176	1.4165579080581665	0.28502902	Yes	
row_15	CCNB2	182	1.4073889255523682	0.29938143	Yes	
row_16	KPNA2	191	1.3836760520935059	0.31329563	Yes	
row_17	TK1	200	1.3599252700805664	0.32696223	Yes	
row_18	ESPL1	219	1.309754729270935	0.33946905	Yes	
row_19	MAD2L1	228	1.2992621660232544	0.3525033	Yes	
row_20	MCM7	238	1.2879929542541504	0.3653564	Yes	
row_21	HELLS	255	1.2607207298278809	0.3774794	Yes	
row_22	ASF1B	269	1.2355555295944214	0.38953117	Yes	
row_23	GINS1	302	1.174257755279541	0.39973396	Yes	
row_24	TIMELESS	332	1.1298624277114868	0.40966505	Yes	
row_25	BUB1B	338	1.123475432395935	0.4210579	Yes	
row_26	TACC3	346	1.112794041633606	0.43221205	Yes	
row_27	HMGB2	349	1.1114115715026855	0.4436702	Yes	
row_28	BIRC5	366	1.0918680429458618	0.4540331	Yes	
row_29	EZH2	418	1.0276881456375122	0.46149808	Yes	
row_30	HMGA1	428	1.010179042816162	0.47145522	Yes	
row_31	BRCA1	468	0.972557783126831	0.47910967	Yes	
row_32	SMC6	471	0.9713791012763977	0.48910812	Yes	
row_33	AURKB	495	0.9461914300918579	0.49750668	Yes	
row_34	ORC6	522	0.9269506335258484	0.5055136	Yes	
row_35	MCM2	538	0.911196768283844	0.51405686	Yes	
row_36	HMMR	548	0.9077534079551697	0.52294624	Yes	
row_37	SPC25	634	0.8492032289505005	0.5263855	Yes	
row_38	RAD51AP1	645	0.8431861400604248	0.53453815	Yes	
row_39	MCM6	659	0.8342344164848328	0.5424065	Yes	
row_40	MSH2	734	0.7923768758773804	0.54595387	Yes	
row_41	CDC25A	738	0.7894794940948486	0.55399245	Yes	
row_42	SPAG5	739	0.7893654108047485	0.56222093	Yes	
row_43	NUP205	761	0.7767912149429321	0.568981	Yes	
row_44	UNG	782	0.7617597579956055	0.57564807	Yes	
row_45	UBE2T	783	0.7608108520507812	0.5835789	Yes	
row_46	RAN	786	0.7589031457901001	0.5913624	Yes	
row_47	CKS2	805	0.7503787875175476	0.5980382	Yes	
row_48	HMGB3	810	0.7495514750480652	0.6055969	Yes	
row_49	POLE	823	0.7440885305404663	0.6125892	Yes	
row_50	CDKN1A	867	0.7216908931732178	0.6173739	Yes	
row_51	TUBG1	928	0.6953834891319275	0.62080175	Yes	
row_52	ATAD2	984	0.6716586351394653	0.6243007	Yes	
row_53	DSCC1	998	0.6651391983032227	0.6304063	Yes	
row_54	PLK4	1013	0.6602255702018738	0.63639706	Yes	
row_55	RAD51C	1048	0.6428435444831848	0.640933	Yes	
row_56	CTPS1	1064	0.6347593665122986	0.6465946	Yes	
