NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBL2	9	2.826707601547241	0.03285889	Yes	
row_1	CHEK1	13	2.7267985343933105	0.06491782	Yes	
row_2	MCM5	16	2.570329427719116	0.095189795	Yes	
row_3	CDC20	21	2.455770969390869	0.12397968	Yes	
row_4	SLC12A2	34	2.115525722503662	0.14823662	Yes	
row_5	MKI67	74	1.7823817729949951	0.16683602	Yes	
row_6	CDC6	83	1.7313843965530396	0.18680418	Yes	
row_7	PTTG1	94	1.6862045526504517	0.20611076	Yes	
row_8	CCND1	101	1.6612173318862915	0.22537628	Yes	
row_9	CENPE	130	1.5521818399429321	0.24195282	Yes	
row_10	TOP2A	147	1.5055534839630127	0.2587412	Yes	
row_11	TROAP	151	1.4951832294464111	0.27623385	Yes	
row_12	TTK	152	1.4934438467025757	0.29389676	Yes	
row_13	H2AZ1	176	1.4165579080581665	0.30918732	Yes	
row_14	CCNB2	182	1.4073889255523682	0.32551444	Yes	
row_15	KPNA2	191	1.3836760520935059	0.34137022	Yes	
row_16	ESPL1	219	1.309754729270935	0.35514322	Yes	
row_17	MAD2L1	228	1.2992621660232544	0.37000066	Yes	
row_18	CENPF	253	1.264841914176941	0.38343328	Yes	
row_19	KIF11	257	1.25961434841156	0.39813986	Yes	
row_20	KIF23	266	1.2451307773590088	0.41235712	Yes	
row_21	CCNA2	301	1.1783632040023804	0.42413086	Yes	
row_22	KNL1	324	1.140342116355896	0.43621826	Yes	
row_23	TACC3	346	1.112794041633606	0.44804344	Yes	
row_24	BIRC5	366	1.0918680429458618	0.45974836	Yes	
row_25	GINS2	372	1.0867406129837036	0.47228315	Yes	
row_26	NSD2	377	1.0765719413757324	0.4847613	Yes	
row_27	EZH2	418	1.0276881456375122	0.49437135	Yes	
row_28	HMGA1	428	1.010179042816162	0.50574625	Yes	
row_29	SMC2	464	0.9750593900680542	0.5150519	Yes	
row_30	AURKB	495	0.9461914300918579	0.5243342	Yes	
row_31	ORC6	522	0.9269506335258484	0.53364336	Yes	
row_32	MCM2	538	0.911196768283844	0.5434659	Yes	
row_33	HMMR	548	0.9077534079551697	0.5536294	Yes	
row_34	KIF15	608	0.8684003949165344	0.560147	Yes	
row_35	MCM6	659	0.8342344164848328	0.566833	Yes	
row_36	CDC25A	738	0.7894794940948486	0.57120866	Yes	
row_37	CKS2	805	0.7503787875175476	0.5758851	Yes	
row_38	HMGB3	810	0.7495514750480652	0.5844956	Yes	
row_39	POLE	823	0.7440885305404663	0.59253263	Yes	
row_40	SNRPD1	842	0.7356395721435547	0.60008806	Yes	
row_41	TFDP1	912	0.6995984315872192	0.60397315	Yes	
row_42	CHAF1A	917	0.6986457109451294	0.6119816	Yes	
row_43	NEK2	980	0.673963725566864	0.6160087	Yes	
row_44	PLK4	1013	0.6602255702018738	0.6217817	Yes	
row_45	INCENP	1023	0.654644250869751	0.62895167	Yes	
row_46	FANCC	1134	0.6107430458068848	0.62917787	Yes	
row_47	KIF20B	1143	0.6074312925338745	0.6358531	Yes	
row_48	PLK1	1215	0.587594211101532	0.6382863	Yes	
row_49	UCK2	1216	0.5857977867126465	0.6452145	Yes	
row_50	AURKA	1239	0.5784521102905273	0.65065646	Yes	
row_51	CUL4A	1262	0.571276068687439	0.6560135	Yes	
row_52	CDC45	1276	0.5674440860748291	0.6618977	Yes	
row_53	STIL	1299	0.5626170635223389	0.66715235	Yes	
row_54	E2F2	1452	0.5199183225631714	0.6636328	Yes	
row_55	FOXN3	1501	0.511793851852417	0.66663253	Yes	
row_56	UBE2C	1553	0.4973829686641693	0.669271	Yes	
row_57	SLC38A1	1599	0.48729798197746277	0.6721719	Yes	
row_58	PRIM2	1639	0.478325754404068	0.6753482	Yes	
row_59	BARD1	1670	0.47084927558898926	0.67900866	Yes	
row_60	DKC1	1776	0.4485660493373871	0.6776349	Yes	
row_61	SMC4	1802	0.4426000714302063	0.6812793	Yes	
row_62	WRN	1910	0.4206898510456085	0.6794486	Yes	
row_63	BRCA2	1914	0.4196934700012207	0.68422145	Yes	
row_64	CKS1B	2151	0.3847137987613678	0.6737597	No	
row_65	CENPA	2167	0.3824938237667084	0.6773293	No	
row_66	TRAIP	2208	0.3769647181034088	0.67924327	No	
row_67	CDK4	2223	0.3743651807308197	0.6827803	No	
row_68	NASP	2411	0.3494836091995239	0.6750188	No	
row_69	DTYMK	2474	0.3413631021976471	0.6751123	No	
row_70	JPT1	2610	0.32623112201690674	0.6703834	No	
row_71	LBR	2631	0.3240841031074524	0.6729441	No	
row_72	CDKN3	2714	0.3140310049057007	0.6714422	No	
row_73	SUV39H1	2970	0.2860855460166931	0.6586054	No	
row_74	HNRNPD	3043	0.27907198667526245	0.6573261	No	
row_75	PML	3399	0.2471812218427658	0.63766825	No	
row_76	CASP8AP2	3409	0.24616985023021698	0.6400072	No	
row_77	PDS5B	3416	0.24585102498531342	0.6425332	No	
row_78	KATNA1	3685	0.22359344363212585	0.6281304	No	
