NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JADE3	525	0.924106776714325	-0.0025270183	No	
row_1	MORF4L2	969	0.677020788192749	-0.008080158	No	
row_2	ELP2	990	0.6688310503959656	0.012918824	No	
row_3	HAT1	2156	0.3840126395225525	-0.048175424	No	
row_4	ELP4	2256	0.37027212977409363	-0.042126153	No	
row_5	JADE2	2654	0.3211570680141449	-0.056609895	No	
row_6	ELP1	2886	0.2930864095687866	-0.061501205	No	
row_7	ELP6	3228	0.2616730034351349	-0.07441407	No	
row_8	MEAF6	3300	0.25538602471351624	-0.070414044	No	
row_9	WDR5	3354	0.2508290112018585	-0.065424256	No	
row_10	VPS72	3410	0.24611280858516693	-0.060718317	No	
row_11	MCRS1	3413	0.2459786981344223	-0.052655816	No	
row_12	ACTL6A	3558	0.23376965522766113	-0.054004796	No	
row_13	DR1	3817	0.2131873071193695	-0.0632684	No	
row_14	ACTB	4023	0.19871282577514648	-0.06965287	No	
row_15	RBBP7	4087	0.19415706396102905	-0.06718401	No	
row_16	ELP3	4425	0.17027375102043152	-0.08288615	No	
row_17	SUPT20H	4623	0.15999361872673035	-0.09005237	No	
row_18	KAT14	4663	0.15778042376041412	-0.08727262	No	
row_19	ING5	4726	0.15349900722503662	-0.08609396	No	
row_20	TAF10	5063	0.1319594830274582	-0.103008285	No	
row_21	ATXN7L3	5344	0.11709652841091156	-0.116866164	No	
row_22	TAF12	5704	0.09806351363658905	-0.13636753	No	
row_23	JADE1	5738	0.09690917283296585	-0.13523386	No	
row_24	TADA1	5887	0.08977624028921127	-0.14163046	No	
row_25	YEATS4	5928	0.08783632516860962	-0.14124276	No	
row_26	MSL1	5936	0.08758839219808578	-0.13877061	No	
row_27	ELP5	6075	0.08132541924715042	-0.1448144	No	
row_28	RUVBL1	6086	0.08063501119613647	-0.14276399	No	
row_29	SGF29	6503	0.061153776943683624	-0.16710888	No	
row_30	TADA3	6590	0.05666295811533928	-0.17067614	No	
row_31	MSL3	6645	0.05478684976696968	-0.17227657	No	
row_32	MORF4L1	6806	0.047442514449357986	-0.18084356	No	
row_33	H2BC15	7218	0.031529709696769714	-0.20585763	No	
row_34	SAP130	7752	0.010490291751921177	-0.23930888	No	
row_35	TAF9	7901	0.005382241681218147	-0.24851519	No	
row_36	ENY2	7932	0.004283875226974487	-0.25027505	No	
row_37	ING4	8230	-0.007355285808444023	-0.26886457	No	
row_38	H2BC9	9133	-0.04182084649801254	-0.3246731	No	
row_39	MRGBP	9282	-0.04735669121146202	-0.33248195	No	
row_40	KANSL3	9331	-0.049142055213451385	-0.3338898	No	
row_41	YEATS2	9726	-0.06542789191007614	-0.35669726	No	
row_42	H2BC18	10014	-0.0785551592707634	-0.3722822	No	
row_43	SUPT3H	10196	-0.08698251098394394	-0.38086453	No	
row_44	BRPF3	10276	-0.09100758284330368	-0.38284445	No	
row_45	KAT5	10304	-0.09231176972389221	-0.38148335	No	
row_46	RUVBL2	10364	-0.09459676593542099	-0.38207546	No	
row_47	TADA2A	10648	-0.10894947499036789	-0.39639482	No	
row_48	KAT8	10879	-0.12133869528770447	-0.4069407	No	
row_49	H2AC8	11000	-0.12813076376914978	-0.41028473	No	
row_50	TAF6L	11260	-0.14366880059242249	-0.4219262	No	
row_51	NCOA2	11328	-0.14712174236774445	-0.42127696	No	
row_52	NCOA1	11521	-0.1582002341747284	-0.4281858	No	
row_53	MBIP	11797	-0.17798329889774323	-0.4396995	No	
row_54	KANSL2	11982	-0.18937645852565765	-0.44506308	No	
row_55	H2BC11	12090	-0.19695626199245453	-0.4452913	No	
row_56	BRPF1	12114	-0.19880758225917816	-0.440131	No	
row_57	KANSL1	12136	-0.20028330385684967	-0.43479472	No	
row_58	BRD8	12346	-0.21407604217529297	-0.4409214	No	
row_59	SUPT7L	12728	-0.24384967982769012	-0.45696425	No	
