NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JMJD6	2578	0.329986572265625	-0.12241693	No	
row_1	KDM1A	2930	0.289603054523468	-0.10913857	No	
row_2	KDM4D	4102	0.19302614033222198	-0.15946425	No	
row_3	KDM2B	4517	0.16538801789283752	-0.16536707	No	
row_4	KDM1B	6712	0.05216306820511818	-0.29753667	No	
row_5	KDM5B	6802	0.04756178334355354	-0.29733607	No	
row_6	RIOX2	7761	0.010347352363169193	-0.35656855	No	
row_7	PHF8	8592	-0.02013302966952324	-0.40652	No	
row_8	KDM4A	9118	-0.04140409454703331	-0.43460697	No	
row_9	KDM7A	9478	-0.05481763929128647	-0.45056915	No	
row_10	PHF2	10848	-0.11936767399311066	-0.5224138	No	
row_11	KDM6A	12813	-0.2516666352748871	-0.6156414	Yes	
row_12	H4C9	12816	-0.2521597743034363	-0.584906	Yes	
row_13	ARID5B	13407	-0.31456148624420166	-0.5836661	Yes	
row_14	KDM5C	13801	-0.3700905740261078	-0.5631892	Yes	
row_15	KDM4B	14024	-0.4124748110771179	-0.5267261	Yes	
row_16	KDM5A	14210	-0.44888588786125183	-0.48347005	Yes	
row_17	KDM4C	14233	-0.455963671207428	-0.4290541	Yes	
row_18	KDM3B	14372	-0.4796227812767029	-0.37906805	Yes	
row_19	UTY	14694	-0.5613723397254944	-0.33063337	Yes	
row_20	KDM5D	14930	-0.6378651857376099	-0.26740575	Yes	
row_21	KDM3A	15400	-0.8489887118339539	-0.19311616	Yes	
row_22	KDM2A	15450	-0.8844940662384033	-0.08795756	Yes	
row_23	KDM6B	15495	-0.9286743998527527	0.022924025	Yes	
