NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K6	391	1.0609313249588013	0.034368258	No	
row_1	FOXO1	871	0.7196827530860901	0.044161934	No	
row_2	PIK3R1	1697	0.4643913805484772	0.017851423	No	
row_3	STAT5B	2018	0.4034341871738434	0.020085154	No	
row_4	MAP2K1	2227	0.3739390969276428	0.027759572	No	
row_5	HDAC1	2378	0.35387057065963745	0.03798443	No	
row_6	STAT3	3438	0.24350124597549438	-0.015430316	No	
row_7	MAPK14	4338	0.1758965402841568	-0.062491365	No	
row_8	GAB2	4347	0.1751338243484497	-0.053241726	No	
row_9	ERBB2	4860	0.14554528892040253	-0.077516824	No	
row_10	MAP3K7	5203	0.12532725930213928	-0.09216613	No	
row_11	GRB2	5249	0.12213965505361557	-0.088208616	No	
row_12	EIF4EBP1	6268	0.07208415120840073	-0.14857881	No	
row_13	STAT1	7101	0.036081667989492416	-0.19919051	No	
row_14	RPS6KB1	7365	0.025525912642478943	-0.21440262	No	
row_15	RAC1	7453	0.02228524722158909	-0.21866374	No	
row_16	CBL	7597	0.01664348505437374	-0.22678097	No	
row_17	MAPK8	7624	0.015615925192832947	-0.22755553	No	
row_18	EIF4E	7743	0.01076205912977457	-0.2344192	No	
row_19	FOS	7762	0.010346716269850731	-0.2349813	No	
row_20	ERBB3	8095	-0.0025640155654400587	-0.25583652	No	
row_21	GSK3B	8741	-0.025410344824194908	-0.29521543	No	
row_22	JUN	8865	-0.03101213090121746	-0.30126736	No	
row_23	EIF2A	8880	-0.0318051278591156	-0.30038112	No	
row_24	LYN	9518	-0.056358471512794495	-0.33753017	No	
row_25	SHC1	10004	-0.07815594226121902	-0.36385143	No	
row_26	MAP2K4	10281	-0.09134535491466522	-0.37621936	No	
row_27	MAPK1	10614	-0.10745624452829361	-0.3912317	No	
row_28	NCOA1	11521	-0.1582002341747284	-0.4397212	No	
row_29	PTK2B	11648	-0.1676575392484665	-0.43835118	No	
row_30	PTPN11	12178	-0.20247501134872437	-0.46053028	No	
row_31	SGK1	13001	-0.2691876292228699	-0.49752462	No	
row_32	SOCS3	13185	-0.2870560884475708	-0.49310875	No	
row_33	TYK2	13562	-0.33548447489738464	-0.4982019	No	
row_34	MAP2K2	14039	-0.41492390632629395	-0.5051947	No	
row_35	EP300	14557	-0.5217955708503723	-0.5088275	Yes	
row_36	BAD	14970	-0.650621235370636	-0.49864322	Yes	
row_37	CDK9	14979	-0.6557178497314453	-0.46262324	Yes	
row_38	MAPK3	15036	-0.6761056184768677	-0.42850345	Yes	
row_39	FYN	15077	-0.694912850856781	-0.3923241	Yes	
row_40	NFKB1	15136	-0.7152949571609497	-0.3561478	Yes	
row_41	NLK	15184	-0.7420697212219238	-0.3177843	Yes	
row_42	IL6R	15264	-0.7770591974258423	-0.27949572	Yes	
row_43	IL6ST	15463	-0.8941625952720642	-0.24221042	Yes	
row_44	JAK1	15508	-0.9386444091796875	-0.19270726	Yes	
row_45	RB1	15631	-1.0714201927185059	-0.14074126	Yes	
row_46	FOXO4	15698	-1.1752302646636963	-0.07945081	Yes	
row_47	CREBBP	15815	-1.606842041015625	0.0027196838	Yes	
