NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTF1	2534	0.33426177501678467	-0.11858996	No	
row_1	STAT3	3438	0.24350124597549438	-0.14545353	No	
row_2	CLCF1	3690	0.22306273877620697	-0.13368793	No	
row_3	LIF	6485	0.06190220266580582	-0.30240348	No	
row_4	STAT1	7101	0.036081667989492416	-0.3367606	No	
row_5	CBL	7597	0.01664348505437374	-0.36594853	No	
row_6	OSMR	8013	0.0012461101869121194	-0.39199212	No	
row_7	PTPN11	12178	-0.20247501134872437	-0.6297921	Yes	
row_8	CNTF	12578	-0.23281370103359222	-0.6261624	Yes	
row_9	JAK2	12919	-0.26136359572410583	-0.61527425	Yes	
row_10	SOCS3	13185	-0.2870560884475708	-0.5964714	Yes	
row_11	TYK2	13562	-0.33548447489738464	-0.57868123	Yes	
row_12	IL11RA	14685	-0.559363067150116	-0.58027256	Yes	
row_13	CNTFR	15025	-0.6726412177085876	-0.51841366	Yes	
row_14	IL6R	15264	-0.7770591974258423	-0.4372541	Yes	
row_15	IL6ST	15463	-0.8941625952720642	-0.33907446	Yes	
row_16	JAK1	15508	-0.9386444091796875	-0.22566731	Yes	
row_17	LIFR	15841	-2.0011329650878906	0.0010732664	Yes	
