NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC20	21	2.455770969390869	0.0466947	Yes	
row_1	KIF2C	26	2.314008951187134	0.09169604	Yes	
row_2	CDCA8	39	2.0342679023742676	0.13071865	Yes	
row_3	BUB1	82	1.7316120862960815	0.16191792	Yes	
row_4	CENPE	130	1.5521818399429321	0.1892907	Yes	
row_5	NDC80	173	1.421618938446045	0.21442741	Yes	
row_6	MAD2L1	228	1.2992621660232544	0.23640949	Yes	
row_7	ZWINT	233	1.2952005863189697	0.2614859	Yes	
row_8	CENPF	253	1.264841914176941	0.28501648	Yes	
row_9	DSN1	262	1.250393033027649	0.3089627	Yes	
row_10	CKAP5	284	1.2099236249923706	0.33129227	Yes	
row_11	KNL1	324	1.140342116355896	0.35111848	Yes	
row_12	BUB1B	338	1.123475432395935	0.37226516	Yes	
row_13	KNTC1	361	1.099395751953125	0.39236966	Yes	
row_14	BIRC5	366	1.0918680429458618	0.4134695	Yes	
row_15	CENPK	451	0.9865016937255859	0.4274306	Yes	
row_16	RCC2	472	0.971186101436615	0.44515464	Yes	
row_17	AURKB	495	0.9461914300918579	0.4622629	Yes	
row_18	CENPU	528	0.9226753115653992	0.47827652	Yes	
row_19	NUF2	545	0.908489465713501	0.4950283	Yes	
row_20	SPC25	634	0.8492032289505005	0.50605035	Yes	
row_21	SKA1	780	0.7629997730255127	0.5117684	Yes	
row_22	CENPH	785	0.7592832446098328	0.52636385	Yes	
row_23	KIF18A	968	0.6775676608085632	0.52806246	Yes	
row_24	INCENP	1023	0.654644250869751	0.5374377	Yes	
row_25	BUB3	1029	0.6500895619392395	0.54983413	Yes	
row_26	PLK1	1215	0.587594211101532	0.5495827	Yes	
row_27	NDE1	1383	0.5368269085884094	0.549481	Yes	
row_28	SEC13	1403	0.5299005508422852	0.5586383	Yes	
row_29	PPP1CC	1491	0.5135537981987	0.56315947	Yes	
row_30	ZWILCH	1520	0.5051543116569519	0.57126147	Yes	
row_31	UBE2C	1553	0.4973829686641693	0.5789576	Yes	
row_32	CENPM	1558	0.4963679611682892	0.5884112	Yes	
row_33	CENPO	1689	0.46579709649086	0.589269	Yes	
row_34	NUP107	1827	0.4380784034729004	0.5891403	Yes	
row_35	KIF2A	1860	0.4301038682460785	0.5955206	Yes	
row_36	CDC16	1883	0.4254610538482666	0.60244495	Yes	
row_37	NUP37	1887	0.4245610237121582	0.6105577	Yes	
row_38	DYNC1I2	1955	0.41241639852523804	0.61437047	Yes	
row_39	CDC26	1971	0.4101482629776001	0.6214396	Yes	
row_40	ANAPC7	1997	0.4066216051578522	0.62780505	Yes	
row_41	NUP43	2001	0.4061843752861023	0.63555837	Yes	
row_42	SPC24	2010	0.4043806791305542	0.64295906	Yes	
row_43	CLASP1	2121	0.3875459134578705	0.643556	Yes	
row_44	CENPA	2167	0.3824938237667084	0.64818	Yes	
row_45	CENPT	2263	0.36975136399269104	0.6493811	Yes	
row_46	ERCC6L	2266	0.36870139837265015	0.6564648	Yes	
row_47	CENPN	2296	0.36566483974456787	0.66177535	Yes	
row_48	PPP2R5D	2374	0.3547053337097168	0.66382474	Yes	
row_49	DYNLL1	2394	0.35135945677757263	0.6694902	Yes	
row_50	PPP2R5B	2458	0.34330877661705017	0.6722054	Yes	
row_51	SGO1	2564	0.33137238025665283	0.6720211	Yes	
row_52	ZW10	2584	0.3292408585548401	0.677254	Yes	
row_53	NUP160	2636	0.3231712877750397	0.680337	Yes	
row_54	NUP85	2684	0.31689566373825073	0.6835512	Yes	
row_55	CENPI	2781	0.30520927906036377	0.6834265	No	
row_56	XPO1	2936	0.2893794775009155	0.6793107	No	
row_57	SPDL1	3037	0.27938565611839294	0.67842704	No	
row_58	RANGAP1	3269	0.2578536868095398	0.66880697	No	
row_59	ANAPC4	3318	0.2543871998786926	0.6707352	No	
row_60	ANAPC10	3875	0.20920489728450775	0.639534	No	
row_61	PPP2R1B	3992	0.2007051408290863	0.636096	No	
row_62	RPS27	4233	0.18366211652755737	0.62445366	No	
row_63	CDC23	4322	0.17712847888469696	0.62233186	No	
row_64	NUDC	4716	0.15398749709129333	0.60039735	No	
row_65	DYNC1LI2	4864	0.14504264295101166	0.593903	No	
row_66	ITGB3BP	5222	0.12399642914533615	0.5736671	No	
row_67	NSL1	5235	0.1229867935180664	0.57531065	No	
row_68	CDC27	5347	0.116838738322258	0.57054985	No	
row_69	DYNC1LI1	5354	0.11648119240999222	0.57244706	No	
row_70	MAPRE1	5364	0.11584822833538055	0.5741414	No	
row_71	NUP133	5497	0.10910502821207047	0.56789637	No	
row_72	ANAPC1	5631	0.10207878798246384	0.5614504	No	
row_73	CENPQ	5664	0.1004425436258316	0.56138355	No	
row_74	SGO2	5683	0.09909360110759735	0.56217897	No	
row_75	CENPL	5816	0.09376795589923859	0.55563396	No	
