NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R1	1697	0.4643913805484772	-0.0544787	No	
row_1	TRPC6	2168	0.3823709189891815	-0.04076931	No	
row_2	PRKCZ	2201	0.37788933515548706	9.522385E-5	No	
row_3	ARRB2	4764	0.1516004055738449	-0.144514	No	
row_4	NPHS2	4978	0.13660471141338348	-0.14246403	No	
row_5	GRB2	5249	0.12213965505361557	-0.14565572	No	
row_6	PLCG1	6913	0.04347653314471245	-0.24575548	No	
row_7	RAC1	7453	0.02228524722158909	-0.2772692	No	
row_8	MAPK8	7624	0.015615925192832947	-0.28623408	No	
row_9	PIK3CA	7789	0.00952648650854826	-0.29551104	No	
row_10	NCK1	8685	-0.023224465548992157	-0.34940287	No	
row_11	JUN	8865	-0.03101213090121746	-0.35718888	No	
row_12	PRKCI	9174	-0.04341353103518486	-0.37171504	No	
row_13	MAPK9	9274	-0.04716511443257332	-0.3726152	No	
row_14	MAP2K4	10281	-0.09134535491466522	-0.42578682	No	
row_15	AKT1	12342	-0.21368038654327393	-0.5316448	No	
row_16	CD2AP	13000	-0.26908648014068604	-0.54260254	No	
row_17	MAPK10	13311	-0.301159143447876	-0.52800417	No	
row_18	TJP1	14788	-0.588219404220581	-0.5544718	Yes	
row_19	KIRREL1	14914	-0.6313742399215698	-0.49071378	Yes	
row_20	BAD	14970	-0.650621235370636	-0.4203503	Yes	
row_21	NPHS1	14983	-0.6570268273353577	-0.34654403	Yes	
row_22	FYN	15077	-0.694912850856781	-0.2735541	Yes	
row_23	PIK3CB	15330	-0.8076765537261963	-0.19780922	Yes	
row_24	NCK2	15523	-0.9525328874588013	-0.101835445	Yes	
row_25	WASL	15641	-1.0832090377807617	0.013705357	Yes	
