NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HES1	1712	0.4601047933101654	-0.052881718	No	
row_1	FLT4	1841	0.4354805648326874	-0.008723566	No	
row_2	HEY1	3825	0.21239668130874634	-0.10842683	No	
row_3	NOTCH4	4640	0.15905405580997467	-0.140733	No	
row_4	SNW1	8038	4.2019430111395195E-5	-0.3551715	No	
row_5	MAML2	8728	-0.024954097345471382	-0.39567283	No	
row_6	RBPJ	10082	-0.08153103291988373	-0.471304	No	
row_7	NOTCH1	11546	-0.1604234278202057	-0.54441553	No	
row_8	MAMLD1	12992	-0.26819658279418945	-0.60346276	No	
row_9	SMAD3	14028	-0.4129357933998108	-0.6192655	Yes	
row_10	KAT2A	14508	-0.5092244744300842	-0.588419	Yes	
row_11	EP300	14557	-0.5217955708503723	-0.5288567	Yes	
row_12	KAT2B	14644	-0.5475642681121826	-0.4686021	Yes	
row_13	NOTCH2	14992	-0.6606747508049011	-0.41125545	Yes	
row_14	MAML3	15069	-0.6914066076278687	-0.33311486	Yes	
row_15	MAML1	15088	-0.6989591121673584	-0.2504069	Yes	
row_16	HEY2	15452	-0.8848124146461487	-0.16718368	Yes	
row_17	CREBBP	15815	-1.606842041015625	0.0027143715	Yes	
