NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TERF1	1667	0.4710041880607605	-0.043975107	No	
row_1	H2AX	5140	0.12825042009353638	-0.24648516	No	
row_2	POT1	5182	0.12636001408100128	-0.23263754	No	
row_3	TERF2	5408	0.11372353136539459	-0.23204976	No	
row_4	ACD	5432	0.1126992255449295	-0.21884269	No	
row_5	H2AZ2	5962	0.08651459962129593	-0.24098596	No	
row_6	H2BC15	7218	0.031529709696769714	-0.3161146	No	
row_7	H2BC9	9133	-0.04182084649801254	-0.43150818	No	
row_8	H2AC8	11000	-0.12813076376914978	-0.5326449	No	
row_9	TINF2	11369	-0.14962852001190186	-0.5364146	No	
row_10	H2BC11	12090	-0.19695626199245453	-0.5562506	No	
row_11	H4C9	12816	-0.2521597743034363	-0.5692217	No	
row_12	H2BC8	13828	-0.3736988604068756	-0.5844394	Yes	
row_13	H2AJ	15107	-0.705893337726593	-0.57330376	Yes	
row_14	H2BC12	15192	-0.7452862858772278	-0.48166534	Yes	
row_15	TERF2IP	15294	-0.789537787437439	-0.3853443	Yes	
row_16	H2BC5	15513	-0.9421079158782959	-0.27656436	Yes	
row_17	H2BC21	15648	-1.091531753540039	-0.14304547	Yes	
row_18	H2AC6	15717	-1.2011734247207642	0.008901504	Yes	
