NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFX5	2910	0.2913501262664795	-0.14657517	No	
row_1	STAT3	3438	0.24350124597549438	-0.1487923	No	
row_2	TBP	7346	0.026132548227906227	-0.3921444	No	
row_3	BCL11A	7526	0.019402066245675087	-0.4009717	No	
row_4	RAD21	7610	0.016182677820324898	-0.40414825	No	
row_5	CREB1	10042	-0.07955234497785568	-0.5474934	No	
row_6	MAPK1	10614	-0.10745624452829361	-0.56984043	No	
row_7	CASP3	11305	-0.1459406167268753	-0.5947926	No	
row_8	NCAM1	11735	-0.17347244918346405	-0.59975386	No	
row_9	CTCF	12898	-0.25972163677215576	-0.63999563	Yes	
row_10	SMC3	13044	-0.2724754512310028	-0.61439806	Yes	
row_11	CHD2	13528	-0.3321503698825836	-0.6025303	Yes	
row_12	RXRA	13566	-0.33639222383499146	-0.5619615	Yes	
row_13	PRNP	14296	-0.46566683053970337	-0.5485967	Yes	
row_14	EP300	14557	-0.5217955708503723	-0.49846068	Yes	
row_15	FGFR1	14920	-0.6343315839767456	-0.4404115	Yes	
row_16	MAPK3	15036	-0.6761056184768677	-0.36143887	Yes	
row_17	FYN	15077	-0.694912850856781	-0.27533203	Yes	
row_18	NFKB1	15136	-0.7152949571609497	-0.1877621	Yes	
row_19	MEF2C	15480	-0.910880982875824	-0.09324088	Yes	
row_20	BCL2	15483	-0.917674720287323	0.023677327	Yes	
