NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC20	21	2.455770969390869	0.042246476	Yes	
row_1	KIF2C	26	2.314008951187134	0.083056055	Yes	
row_2	CDCA8	39	2.0342679023742676	0.11839382	Yes	
row_3	CCNB1	56	1.877758502960205	0.15070042	Yes	
row_4	BUB1	82	1.7316120862960815	0.17984247	Yes	
row_5	CENPE	130	1.5521818399429321	0.2044044	Yes	
row_6	CDK1	132	1.5489815473556519	0.2318285	Yes	
row_7	NDC80	173	1.421618938446045	0.2545177	Yes	
row_8	CCNB2	182	1.4073889255523682	0.27898496	Yes	
row_9	MAD2L1	228	1.2992621660232544	0.2991856	Yes	
row_10	CDCA5	230	1.2976707220077515	0.32215005	Yes	
row_11	ZWINT	233	1.2952005863189697	0.3450072	Yes	
row_12	CENPF	253	1.264841914176941	0.36624688	Yes	
row_13	DSN1	262	1.250393033027649	0.38792816	Yes	
row_14	PDS5A	278	1.2261654138565063	0.40873533	Yes	
row_15	CKAP5	284	1.2099236249923706	0.42988884	Yes	
row_16	KNL1	324	1.140342116355896	0.44765007	Yes	
row_17	BUB1B	338	1.123475432395935	0.46676186	Yes	
row_18	KNTC1	361	1.099395751953125	0.48487523	Yes	
row_19	BIRC5	366	1.0918680429458618	0.5039972	Yes	
row_20	CENPK	451	0.9865016937255859	0.51617295	Yes	
row_21	RCC2	472	0.971186101436615	0.5321381	Yes	
row_22	AURKB	495	0.9461914300918579	0.5475328	Yes	
row_23	CENPU	528	0.9226753115653992	0.5618756	Yes	
row_24	NUF2	545	0.908489465713501	0.57698196	Yes	
row_25	SPC25	634	0.8492032289505005	0.58646744	Yes	
row_26	SKA1	780	0.7629997730255127	0.59080625	Yes	
row_27	CENPH	785	0.7592832446098328	0.6040263	Yes	
row_28	KIF18A	968	0.6775676608085632	0.6045012	Yes	
row_29	INCENP	1023	0.654644250869751	0.6126916	Yes	
row_30	BUB3	1029	0.6500895619392395	0.62391055	Yes	
row_31	PLK1	1215	0.587594211101532	0.6225984	Yes	
row_32	NDE1	1383	0.5368269085884094	0.62152755	Yes	
row_33	SEC13	1403	0.5299005508422852	0.6297253	Yes	
row_34	PPP1CC	1491	0.5135537981987	0.63331795	Yes	
row_35	ZWILCH	1520	0.5051543116569519	0.64050543	Yes	
row_36	CENPM	1558	0.4963679611682892	0.6469659	Yes	
row_37	CENPO	1689	0.46579709649086	0.6469825	Yes	
row_38	NUP107	1827	0.4380784034729004	0.64606297	Yes	
row_39	KIF2A	1860	0.4301038682460785	0.65166485	Yes	
row_40	NUP37	1887	0.4245610237121582	0.6575491	Yes	
row_41	DYNC1I2	1955	0.41241639852523804	0.6606161	Yes	
row_42	NUP43	2001	0.4061843752861023	0.66496855	Yes	
row_43	SPC24	2010	0.4043806791305542	0.6716369	Yes	
row_44	CLASP1	2121	0.3875459134578705	0.67153394	Yes	
row_45	CENPA	2167	0.3824938237667084	0.675466	Yes	
row_46	CENPT	2263	0.36975136399269104	0.67599916	Yes	
row_47	ERCC6L	2266	0.36870139837265015	0.68241507	Yes	
row_48	CENPN	2296	0.36566483974456787	0.68706375	Yes	
row_49	PPP2R5D	2374	0.3547053337097168	0.6884721	Yes	
row_50	DYNLL1	2394	0.35135945677757263	0.69350153	Yes	
row_51	PPP2R5B	2458	0.34330877661705017	0.69559604	Yes	
row_52	SGO1	2564	0.33137238025665283	0.69481355	Yes	
row_53	ZW10	2584	0.3292408585548401	0.6994505	Yes	
row_54	NUP160	2636	0.3231712877750397	0.70194906	Yes	
row_55	NUP85	2684	0.31689566373825073	0.70459014	Yes	
row_56	CENPI	2781	0.30520927906036377	0.7039145	No	
row_57	XPO1	2936	0.2893794775009155	0.6992775	No	
row_58	SPDL1	3037	0.27938565611839294	0.6978898	No	
row_59	RANGAP1	3269	0.2578536868095398	0.68780726	No	
row_60	PDS5B	3416	0.24585102498531342	0.6829055	No	
row_61	PPP2R1B	3992	0.2007051408290863	0.64998	No	
