NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AX	5140	0.12825042009353638	-0.3073255	No	
row_1	H2AZ2	5962	0.08651459962129593	-0.34759536	No	
row_2	H2BC15	7218	0.031529709696769714	-0.4226042	No	
row_3	UBTF	7929	0.004369610454887152	-0.4668382	No	
row_4	H2BC9	9133	-0.04182084649801254	-0.5371902	No	
row_5	H2AC8	11000	-0.12813076376914978	-0.6378659	No	
row_6	MBD2	11141	-0.13668349385261536	-0.6284484	No	
row_7	H2BC11	12090	-0.19695626199245453	-0.6619849	No	
row_8	H4C9	12816	-0.2521597743034363	-0.6740722	No	
row_9	H2BC8	13828	-0.3736988604068756	-0.68798065	Yes	
row_10	MAPK3	15036	-0.6761056184768677	-0.6738734	Yes	
row_11	H2AJ	15107	-0.705893337726593	-0.5840167	Yes	
row_12	H2BC12	15192	-0.7452862858772278	-0.48978254	Yes	
row_13	H3-3B	15193	-0.7453545331954956	-0.3902369	Yes	
row_14	H2BC5	15513	-0.9421079158782959	-0.2845503	Yes	
row_15	H2BC21	15648	-1.091531753540039	-0.14722961	Yes	
row_16	H2AC6	15717	-1.2011734247207642	0.008900381	Yes	
