NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGO4	1063	0.6355699300765991	-0.03481151	No	
row_1	AGO1	1507	0.5090646147727966	-0.036867704	No	
row_2	PRKCQ	2108	0.38929757475852966	-0.05495867	No	
row_3	MOV10	2128	0.386398583650589	-0.036457855	No	
row_4	AGO3	2174	0.3819226026535034	-0.019829385	No	
row_5	HDAC1	2378	0.35387057065963745	-0.01462242	No	
row_6	DPY30	2713	0.3143566846847534	-0.019714048	No	
row_7	CBFB	2737	0.3110029697418213	-0.005310562	No	
row_8	RBBP5	3047	0.27809473872184753	-0.010670292	No	
row_9	WDR5	3354	0.2508290112018585	-0.017230583	No	
row_10	H2AX	5140	0.12825042009353638	-0.12356582	No	
row_11	H2AZ2	5962	0.08651459962129593	-0.1710705	No	
row_12	H2BC15	7218	0.031529709696769714	-0.24882288	No	
row_13	TNRC6B	8355	-0.012018171139061451	-0.32004517	No	
row_14	PRMT1	8657	-0.02235482446849346	-0.33793908	No	
row_15	ASH2L	9034	-0.03803272172808647	-0.3597762	No	
row_16	H2BC9	9133	-0.04182084649801254	-0.36384082	No	
row_17	GP1BA	10393	-0.09615985304117203	-0.43855068	No	
row_18	H2AC8	11000	-0.12813076376914978	-0.4703378	No	
row_19	ITGA2B	11132	-0.1362108737230301	-0.4716763	No	
row_20	ZFPM1	11241	-0.14282119274139404	-0.4712233	No	
row_21	H2BC11	12090	-0.19695626199245453	-0.51480395	No	
row_22	TNRC6A	12141	-0.2005733996629715	-0.5077386	No	
row_23	KMT2A	12327	-0.21255922317504883	-0.5085988	No	
row_24	H4C9	12816	-0.2521597743034363	-0.5266	No	
row_25	SIN3B	13775	-0.3674299418926239	-0.56844413	Yes	
row_26	H2BC8	13828	-0.3736988604068756	-0.55267763	Yes	
row_27	PRMT6	14042	-0.41530781984329224	-0.5449704	Yes	
row_28	SIN3A	14523	-0.5141552686691284	-0.5491067	Yes	
row_29	EP300	14557	-0.5217955708503723	-0.52458733	Yes	
row_30	KMT2B	14572	-0.5253366827964783	-0.498686	Yes	
row_31	KAT2B	14644	-0.5475642681121826	-0.47525564	Yes	
row_32	THBS1	14664	-0.554642915725708	-0.44817612	Yes	
row_33	KMT2D	14753	-0.5762919783592224	-0.42435595	Yes	
row_34	KMT2C	15083	-0.6984955668449402	-0.40954435	Yes	
row_35	H2AJ	15107	-0.705893337726593	-0.3750056	Yes	
row_36	H2BC12	15192	-0.7452862858772278	-0.34231555	Yes	
row_37	H3-3B	15193	-0.7453545331954956	-0.30431026	Yes	
row_38	SETD1A	15366	-0.8287224173545837	-0.27293056	Yes	
row_39	SETD1B	15380	-0.8360404372215271	-0.2311233	Yes	
row_40	TNRC6C	15388	-0.8400059342384338	-0.18873444	Yes	
row_41	H2BC5	15513	-0.9421079158782959	-0.14853796	Yes	
row_42	MYL9	15612	-1.0445411205291748	-0.10147435	Yes	
row_43	H2BC21	15648	-1.091531753540039	-0.048030898	Yes	
row_44	H2AC6	15717	-1.2011734247207642	0.008916374	Yes	
