NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SUV39H1	2970	0.2860855460166931	-0.15439764	No	
row_1	H2AX	5140	0.12825042009353638	-0.27649987	No	
row_2	H2AZ2	5962	0.08651459962129593	-0.31831935	No	
row_3	TAF1A	6209	0.0747477188706398	-0.32519442	No	
row_4	H2BC15	7218	0.031529709696769714	-0.38519067	No	
row_5	TBP	7346	0.026132548227906227	-0.39018288	No	
row_6	TAF1D	7614	0.015954159200191498	-0.40519413	No	
row_7	H2BC9	9133	-0.04182084649801254	-0.49620143	No	
row_8	TAF1B	9912	-0.07397827506065369	-0.5367578	No	
row_9	H2AC8	11000	-0.12813076376914978	-0.5905529	No	
row_10	H2BC11	12090	-0.19695626199245453	-0.6365021	No	
row_11	H4C9	12816	-0.2521597743034363	-0.6530728	Yes	
row_12	RRP8	13029	-0.2715243697166443	-0.6350079	Yes	
row_13	H2BC8	13828	-0.3736988604068756	-0.64210993	Yes	
row_14	TAF1C	14701	-0.5622709393501282	-0.6320419	Yes	
row_15	SIRT1	14973	-0.652086615562439	-0.5736212	Yes	
row_16	H2AJ	15107	-0.705893337726593	-0.50025415	Yes	
row_17	H2BC12	15192	-0.7452862858772278	-0.41923016	Yes	
row_18	H3-3B	15193	-0.7453545331954956	-0.33289424	Yes	
row_19	H2BC5	15513	-0.9421079158782959	-0.24391064	Yes	
row_20	H2BC21	15648	-1.091531753540039	-0.12593748	Yes	
row_21	H2AC6	15717	-1.2011734247207642	0.008903156	Yes	
