NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RNA POLYMERASE I PROMOTER OPENING%REACTOME DATABASE ID RELEASE 65%73728	RNA POLYMERASE I PROMOTER OPENING%REACTOME DATABASE ID RELEASE 65%73728	Details ...	17	-0.7641705	-1.9736422	0.0	0.4614966	0.435	824	tags=41%, list=5%, signal=43%	
SEMAPHORIN-PLEXIN SIGNALING PATHWAY%GOBP%GO:0071526	SEMAPHORIN-PLEXIN SIGNALING PATHWAY%GOBP%GO:0071526	Details ...	34	-0.6492485	-1.9734564	0.0	0.23318118	0.437	1692	tags=47%, list=11%, signal=53%	
SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 65%427359	SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 65%427359	Details ...	22	-0.69717085	-1.9165714	0.0	0.35325366	0.732	1159	tags=36%, list=7%, signal=39%	
RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME%R-HSA-8936459.2	RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME%R-HSA-8936459.2	Details ...	45	-0.58717924	-1.8852429	0.0	0.397886	0.862	2085	tags=44%, list=13%, signal=51%	
B-WICH COMPLEX POSITIVELY REGULATES RRNA EXPRESSION%REACTOME%R-HSA-5250924.4	B-WICH COMPLEX POSITIVELY REGULATES RRNA EXPRESSION%REACTOME%R-HSA-5250924.4	Details ...	41	-0.58639246	-1.8712286	0.00243309	0.38080475	0.911	1608	tags=34%, list=10%, signal=38%	
PRION DISEASE PATHWAY%WIKIPATHWAYS_20240210%WP3995%HOMO SAPIENS	PRION DISEASE PATHWAY%WIKIPATHWAYS_20240210%WP3995%HOMO SAPIENS	Details ...	21	-0.67312175	-1.861369	0.0	0.3622441	0.932	2962	tags=57%, list=19%, signal=70%	
HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.5	HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.5	Details ...	24	-0.64644283	-1.8571979	0.0023923444	0.3271458	0.942	3047	tags=54%, list=19%, signal=67%	
REGULATION OF CARDIOCYTE DIFFERENTIATION%GOBP%GO:1905207	REGULATION OF CARDIOCYTE DIFFERENTIATION%GOBP%GO:1905207	Details ...	17	-0.7060921	-1.8523865	0.0023640662	0.3029269	0.947	635	tags=47%, list=4%, signal=49%	
BIOCARTA_AGR_PATHWAY%MSIGDB_C2%BIOCARTA_AGR_PATHWAY	BIOCARTA_AGR_PATHWAY%MSIGDB_C2%BIOCARTA_AGR_PATHWAY	Details ...	19	-0.6878471	-1.8429571	0.0023584906	0.30160993	0.965	1497	tags=32%, list=9%, signal=35%	
NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE	NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE	Details ...	26	-0.6212272	-1.8256847	0.0022779044	0.33575106	0.983	1072	tags=31%, list=7%, signal=33%	
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032786	POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032786	Details ...	54	-0.53551346	-1.8113451	0.0	0.36001265	0.99	2684	tags=43%, list=17%, signal=51%	
HATS ACETYLATE HISTONES%REACTOME%R-HSA-3214847.3	HATS ACETYLATE HISTONES%REACTOME%R-HSA-3214847.3	Details ...	90	-0.49433488	-1.7961876	0.0	0.38991985	0.997	2115	tags=30%, list=13%, signal=34%	
REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE%GOBP%GO:0048841	REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE%GOBP%GO:0048841	Details ...	21	-0.6530278	-1.7957612	0.006833713	0.36167654	0.997	1692	tags=52%, list=11%, signal=59%	
NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.2	NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.2	Details ...	18	-0.6687996	-1.7887716	0.00921659	0.36009166	0.998	1832	tags=50%, list=12%, signal=56%	
POSITIVE REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0032968	POSITIVE REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0032968	Details ...	45	-0.55757594	-1.7876093	0.0	0.33998314	0.998	2684	tags=40%, list=17%, signal=48%	
REGULATION OF MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051147	REGULATION OF MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051147	Details ...	73	-0.4918956	-1.7767876	0.0	0.3582118	0.999	3457	tags=51%, list=22%, signal=65%	
PACKAGING OF TELOMERE ENDS%REACTOME DATABASE ID RELEASE 65%171306	PACKAGING OF TELOMERE ENDS%REACTOME DATABASE ID RELEASE 65%171306	Details ...	19	-0.6651212	-1.7721946	0.004237288	0.35409918	1.0	753	tags=32%, list=5%, signal=33%	
NEGATIVE REGULATION OF CHEMOTAXIS%GOBP%GO:0050922	NEGATIVE REGULATION OF CHEMOTAXIS%GOBP%GO:0050922	Details ...	37	-0.5618352	-1.7698839	0.004842615	0.34334338	1.0	1908	tags=46%, list=12%, signal=52%	
IL6%NETPATH%IL6	IL6%NETPATH%IL6	Details ...	48	-0.5378935	-1.7622167	0.0023310024	0.3522707	1.0	1303	tags=27%, list=8%, signal=29%	
INTERLEUKIN-6 FAMILY SIGNALING%REACTOME DATABASE ID RELEASE 65%6783589	INTERLEUKIN-6 FAMILY SIGNALING%REACTOME DATABASE ID RELEASE 65%6783589	Details ...	18	-0.6549799	-1.7531383	0.008547009	0.36740065	1.0	3282	tags=56%, list=21%, signal=70%	
IL6 SIGNALING PATHWAY%WIKIPATHWAYS_20240210%WP364%HOMO SAPIENS	IL6 SIGNALING PATHWAY%WIKIPATHWAYS_20240210%WP364%HOMO SAPIENS		31	-0.5713533	-1.7514498	0.00456621	0.35568437	1.0	2937	tags=45%, list=19%, signal=55%	
CHROMATIN MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 65%3247509	CHROMATIN MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 65%3247509		211	-0.424435	-1.7490686	0.0	0.34766248	1.0	2115	tags=29%, list=13%, signal=33%	
CLEAVAGE OF THE DAMAGED PURINE%REACTOME%R-HSA-110331.5	CLEAVAGE OF THE DAMAGED PURINE%REACTOME%R-HSA-110331.5		21	-0.62858105	-1.7467104	0.00856531	0.34118357	1.0	753	tags=29%, list=5%, signal=30%	
CHROMATIN ORGANIZATION%REACTOME DATABASE ID RELEASE 65%4839726	CHROMATIN ORGANIZATION%REACTOME DATABASE ID RELEASE 65%4839726		211	-0.424435	-1.7451525	0.0	0.33253095	1.0	2115	tags=29%, list=13%, signal=33%	
DEPURINATION%REACTOME%R-HSA-73927.4	DEPURINATION%REACTOME%R-HSA-73927.4		21	-0.62858105	-1.7444646	0.015151516	0.3216121	1.0	753	tags=29%, list=5%, signal=30%	
ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME%R-HSA-5625886.3	ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME%R-HSA-5625886.3		19	-0.6592809	-1.7355827	0.009411764	0.33764008	1.0	2032	tags=42%, list=13%, signal=48%	
