NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	156	0.733267	2.7280955	0.0	0.0	0.0	2722	tags=63%, list=17%, signal=75%	
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details ...	138	0.68422145	2.5020688	0.0	0.0	0.0	1914	tags=46%, list=12%, signal=52%	
CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 65%69620	CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 65%69620	Details ...	253	0.63383526	2.4887102	0.0	0.0	0.0	2781	tags=44%, list=18%, signal=52%	
AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME%R-HSA-141424.4	AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME%R-HSA-141424.4	Details ...	88	0.7109735	2.477325	0.0	0.0	0.0	2781	tags=59%, list=18%, signal=71%	
EML4 AND NUDC IN MITOTIC SPINDLE FORMATION%REACTOME%R-HSA-9648025.3	EML4 AND NUDC IN MITOTIC SPINDLE FORMATION%REACTOME%R-HSA-9648025.3	Details ...	92	0.7039378	2.4746296	0.0	0.0	0.0	2781	tags=58%, list=18%, signal=69%	
MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	Details ...	425	0.59452677	2.4652748	0.0	0.0	0.0	2121	tags=35%, list=13%, signal=39%	
RESOLUTION OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2500257.4	RESOLUTION OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2500257.4	Details ...	100	0.70459014	2.465252	0.0	0.0	0.0	2684	tags=56%, list=17%, signal=67%	
REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	Details ...	65	0.74235785	2.4606826	0.0	0.0	0.0	2104	tags=57%, list=13%, signal=65%	
MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.7	MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.7	Details ...	180	0.6389274	2.4431818	0.0	0.0	0.0	2781	tags=48%, list=18%, signal=57%	
AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 65%141444	AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 65%141444	Details ...	88	0.7109735	2.4427955	0.0	0.0	0.0	2781	tags=59%, list=18%, signal=71%	
CELL CYCLE, MITOTIC%REACTOME%R-HSA-69278.6	CELL CYCLE, MITOTIC%REACTOME%R-HSA-69278.6	Details ...	479	0.5810282	2.431441	0.0	0.0	0.0	2394	tags=37%, list=15%, signal=42%	
REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051783	REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051783	Details ...	92	0.69785434	2.4174886	0.0	0.0	0.0	2010	tags=46%, list=13%, signal=52%	
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	Details ...	173	0.6368046	2.4168854	0.0	0.0	0.0	2149	tags=42%, list=14%, signal=48%	
