NAME	TITLE	SCORE	
SUCNR1		4.570595	
RHBG		4.1031413	
PFKFB2		3.6437712	
TFAP2A		3.5897443	
TFPI2		3.42859	
THY1		3.1028147	
RACGAP1		3.0332413	
SLITRK2		3.0007343	
AKR1B10		2.9831026	
MYBL2		2.8267076	
MCM3		2.7651858	
TRIM24		2.7504165	
GSR		2.7369058	
CHEK1		2.7267985	
PLA2G4A		2.6805983	
SAMD5		2.6055431	
MCM5		2.5703294	
AVPR1A		2.5660076	
SPRY4		2.528309	
SPRY2		2.4995	
GATA3		2.4698894	
CDC20		2.455771	
MCM4		2.4329243	
MEG3		2.4059515	
EMX2OS		2.3701406	
PCDH7		2.3241637	
KIF2C		2.314009	
LINC00645		2.3123355	
CDH6		2.2561538	
HMOX1		2.254733	
REC8		2.2493763	
SLC22A8		2.202975	
KIFC1		2.184602	
WNT9B		2.125586	
SLC12A2		2.1155257	
FADS2		2.0969439	
PCK2		2.065547	
UGDH		2.0642529	
ZMAT3		2.0507534	
CDCA8		2.034268	
ETV4		2.019405	
TPD52L1		2.0190349	
TUBA1C		2.0072198	
S100A11		1.984058	
EPAS1		1.9580101	
SLCO2A1		1.9573882	
TMEM252		1.9532076	
PAMR1		1.9518121	
PRKCA		1.9518099	
IQGAP3		1.9479069	
COL4A3		1.9220247	
CDCA7		1.9181148	
SDC1		1.9088017	
COL4A4		1.8940601	
MID1		1.891969	
BLACAT1		1.8886868	
CCNB1		1.8777585	
CCND2		1.8746738	
PRPS2		1.873319	
CA2		1.87106	
GAS2L3		1.8493043	
FAR2		1.8442333	
ANKS1A		1.8401295	
SLC26A6		1.8257816	
KCNC3		1.8178105	
ACSF2		1.8176321	
KIF21A		1.8103683	
SPARCL1		1.8087842	
ARL4C		1.8061892	
STK38		1.7937148	
SCUBE3		1.7913569	
MCOLN3		1.7873956	
MMD		1.7860314	
FMN1		1.7839094	
MKI67		1.7823818	
CYP24A1		1.7759309	
UPK1B		1.7681047	
ZNF710-AS1		1.7630029	
NNT		1.7570908	
ACSS2		1.7560784	
LINC02038		1.7363739	
SLIT2		1.7358465	
BUB1		1.7316121	
CDC6		1.7313844	
PCNA		1.7264947	
TM7SF3		1.7254733	
KIF3A		1.7239393	
ALDH1A1		1.721926	
ZNF385D		1.713207	
FBLN5		1.7030824	
EMX1		1.7015511	
RASA3		1.6986492	
ZNF736		1.6885722	
KCTD12		1.6884267	
PTTG1		1.6862046	
ECT2		1.6844251	
SLC25A30		1.6834441	
ENC1		1.6821201	
ATP1B1		1.6670433	
NUDT4		1.662844	
FANCI		1.6625777	
CCND1		1.6612173	
IVNS1ABP		1.6596123	
PDIA4		1.6564057	
MXRA5		1.6549237	
CAPN3		1.6471324	
ADGRG1		1.6298732	
MTHFD1		1.6211858	
MICAL1		1.6198803	
PSAT1		1.6196692	
RASSF9		1.6180495	
SPRY1		1.6173395	
UGT2B7		1.6080126	
ETV5		1.6046441	
SHMT2		1.6033871	
GPR160		1.6029243	
FADS1		1.5972338	
METTL7B		1.5968542	
TSPAN18		1.5903152	
NT5DC3		1.5901655	
FRZB		1.5896523	
CNTNAP2		1.5846189	
UBAC2		1.583959	
MYO19		1.5834528	
DLGAP5		1.5735047	
RRAGD		1.5716349	
DDX11		1.558982	
ANLN		1.5574225	
FAM111B		1.5543243	
PRRG4		1.5536301	
CENPE		1.5521818	
CHST3		1.5507272	
CDK1		1.5489815	
CRYBG1		1.5455438	
ABCB1		1.5445448	
WDR72		1.5444893	
SPRED1		1.5424811	
RRM2		1.53759	
TBC1D9		1.5372479	
GPC3		1.5286127	
FZD1		1.5195493	
C1orf54		1.5192863	
AKR1C3		1.5114645	
NCAPH		1.5083957	
KIF18B		1.5072438	
ARSL		1.5065068	
TMPRSS2		1.5061057	
TOP2A		1.5055535	
IDH2		1.5002668	
PCSK1		1.4988576	
CDC7		1.4961171	
TROAP		1.4951832	
TTK		1.4934438	
KIF20A		1.4933853	
TNFSF15		1.4912065	
TNFRSF19		1.4880784	
FBLN1		1.487804	
TMPO		1.4851941	
LINC01116		1.4759618	
STXBP4		1.4736115	
HMGA2		1.470012	
HOXD3		1.4691969	
MTATP6P1		1.4659384	
PDZRN4		1.4656928	
PIP4K2C		1.4627967	
NAE1		1.456523	
RAB17		1.4505283	
UNC13B		1.4449079	
PIM1		1.4355885	
NQO1		1.4349797	
DEPDC1		1.431231	
ZC3HAV1		1.430692	
LINC01606		1.4302769	
NDC80		1.4216189	
CACNA2D1		1.4171991	
ATP1B3		1.4166147	
H2AZ1		1.4165579	
PLEKHD1		1.4152384	
GNAI1		1.4148782	
HSD17B7P2		1.4122665	
ICA1		1.4094603	
POGLUT3		1.4088691	
CCNB2		1.4073889	
TRIB1		1.4028326	
TMEM52B		1.4015591	
SRBD1		1.3993102	
